step,token_id,decoded
1,18981,Bird
2,29481,s
3,9315,fly
4,1254,by
5,2181,using
6,1420,their
7,16383,wings
8,1066,to
9,9038,generate
10,8586,lift
11,1072,and
12,21368,thrust
13,29491,.
14,1183,The
15,16383,wings
16,1070,of
17,1032,a
18,8495,bird
19,1228,are
20,6450,designed
21,1163,with
22,1032,a
23,5610,unique
24,6611,shape
25,1137,that
26,6744,allows
27,1474,them
28,1066,to
29,2999,create
30,1164,an
31,3191,air
32,1670,fo
33,1077,il
34,29493,","
35,1458,which
36,27164,generates
37,8586,lift
38,1158,as
39,3191,air
40,21910,flows
41,1522,over
42,1040,the
43,14556,wing
44,29491,.
45,1183,The
46,16690,muscles
47,1065,in
48,1032,a
49,8495,bird
50,29510,'
51,29481,s
52,16383,wings
53,9002,enable
54,1146,it
55,1066,to
56,1740,fl
57,1145,ap
58,1350,up
59,1072,and
60,1828,down
61,29493,","
62,7586,creating
63,1032,a
64,10829,cycle
65,1070,of
66,8586,lift
67,1072,and
68,8979,drag
69,1137,that
70,4081,prop
71,1958,els
72,1040,the
73,8495,bird
74,4582,forward
75,29491,.
76,17337,Additionally
77,29493,","
78,13548,birds
79,1274,have
80,1032,a
81,2829,light
82,7787,weight
83,12517,ske
84,1663,let
85,1050,al
86,5461,structure
87,1072,and
88,5222,stream
89,15213,lined
90,10169,bodies
91,29493,","
92,1458,which
93,2084,help
94,8411,reduce
95,3191,air
96,13336,resistance
97,1072,and
98,6015,increase
99,1420,their
100,13600,efficiency
101,1065,in
102,10082,flight
103,29491,.
104,2,</s>
