step,head_agreement
0,
1,0.17195036
2,0.21884206
3,0.1466621
4,0.1450708
5,0.13859871
6,0.22105186
7,0.1888872
8,0.20260492
9,0.38051134
10,0.42535195
11,0.36045954
12,0.35896817
13,0.36746302
14,0.39916936
15,0.4496679
16,0.31382447
17,0.32790288
18,0.31490466
19,0.40196425
20,0.25387704
21,0.2818326
22,0.23520318
23,0.25008237
24,0.19531865
25,0.20653334
26,0.20701788
27,0.24903278
28,0.15960677
29,0.18089907
30,0.2712559
31,0.17916554
32,0.2508552
33,0.20966227
34,0.2462107
35,0.2212942
36,0.19402124
37,0.20135666
38,0.18145946
39,0.2362932
40,0.19119857
41,0.20678297
42,0.19746493
43,0.19176571
44,0.19169424
45,0.18645164
46,0.19847962
47,0.23120055
