k,cum_mean_std_all,cum_mean_std_mid
1,0.12654066,0.13682391
2,0.10362077,0.107785955
3,0.09528122,0.09772647
4,0.090633616,0.09226396
5,0.08723231,0.08751052
6,0.08515478,0.08485326
7,0.088230155,0.08894109
8,0.08734509,0.08749853
9,0.08674602,0.0861016
10,0.08629863,0.08523135
11,0.08609292,0.0847416
12,0.085612796,0.08417653
13,0.0856204,0.08422769
14,0.085355796,0.08367177
15,0.08535977,0.083654374
16,0.08560501,0.084173694
17,0.08580112,0.084405005
18,0.08542411,0.083913304
19,0.08574263,0.084248364
20,0.08593663,0.084535405
21,0.08592678,0.084407605
22,0.08718325,0.08615306
23,0.08826704,0.08784888
24,0.087937415,0.087680854
25,0.087415084,0.08718849
26,0.08733762,0.087181084
27,0.08705202,0.08700582
28,0.08810304,0.08827787
29,0.0893669,0.08996658
30,0.0894367,0.0899751
31,0.08928049,0.08991751
32,0.08912061,0.08986083
33,0.08891428,0.0896627
34,0.08970608,0.09059418
35,0.089288965,0.09004737
36,0.08914648,0.08988186
37,0.08882508,0.08939802
38,0.08889118,0.08955041
39,0.08886396,0.08959304
40,0.08877126,0.08939676
41,0.0889405,0.08965411
42,0.08915107,0.09001432
43,0.089367345,0.090401
44,0.089762054,0.09096663
45,0.090183415,0.09129559
46,0.090537705,0.09165293
47,0.090892054,0.09218096
48,0.09136072,0.09293065
49,0.09161384,0.09332094
50,0.091764696,0.09360746
51,0.091990404,0.09402694
52,0.09206529,0.09406137
53,0.09203572,0.09404571
54,0.09207548,0.09414317
55,0.09219814,0.09433634
56,0.09239719,0.09464995
57,0.092551686,0.09495363
58,0.09282008,0.095282234
59,0.093159094,0.09570588
60,0.09322357,0.09583047
61,0.09331803,0.09601583
62,0.09316114,0.09580713
63,0.09317162,0.09591092
64,0.09316297,0.09596467
65,0.09304998,0.09586857
66,0.09285246,0.09565275
67,0.092855155,0.09574147
68,0.09302931,0.095995665
69,0.09316235,0.09620871
70,0.093293376,0.0964218
71,0.09353239,0.09673158
72,0.09379677,0.09710198
73,0.09395602,0.0972989
74,0.09433534,0.09773781
75,0.09455519,0.09802357
76,0.09474888,0.09823686
77,0.09494348,0.098511815
78,0.094988704,0.09860355
79,0.09507673,0.09865854
80,0.09512426,0.098712936
81,0.09557946,0.099428944
82,0.095605016,0.09952827
83,0.0958903,0.09991116
84,0.096070595,0.10018221
85,0.09639128,0.10067816
86,0.097030595,0.101615675
87,0.09749078,0.102280386
88,0.09744202,0.10218683
89,0.09770848,0.102556676
90,0.09761714,0.10244463
91,0.09779933,0.102740884
92,0.09844895,0.10368148
93,0.09907284,0.1045075
94,0.09930391,0.10486881
95,0.09971888,0.1054411
96,0.100427486,0.106383465
97,0.10121311,0.10742957
98,0.10184187,0.10829255
99,0.102634735,0.1093797
100,0.10342342,0.110432625
101,0.10390671,0.11088361
102,0.10479866,0.111990884
103,0.10544045,0.112605326
104,0.10617023,0.11353065
105,0.10696849,0.11460063
106,0.107755065,0.115555346
107,0.10855349,0.116481826
108,0.10924026,0.11716352
109,0.11001863,0.118089706
110,0.11051479,0.11855882
111,0.11071946,0.1187369
