step,token_id,decoded
1,28741,A
2,6074,computer
3,28742,'
4,28713,s
5,6471,basic
6,908,function
7,349,is
8,298,to
9,1759,process
10,28725,","
11,4143,store
12,28725,","
13,304,and
14,20132,retrieve
15,1178,data
16,4771,according
17,298,to
18,264,a
19,2007,program
20,1591,med
21,808,set
22,302,of
23,11382,instructions
24,28723,.
25,661,It
26,349,is
27,396,an
28,13176,electronic
29,3895,device
30,369,that
31,6098,uses
32,264,a
33,7768,sequence
34,302,of
35,11382,instructions
36,1987,called
37,264,a
38,2007,program
39,298,to
40,2225,perform
41,2948,specific
42,9796,tasks
43,28723,.
44,2,</s>
