step,token_id,decoded
1,11600,Some
2,3298,common
3,21566,fruits
4,3024,include
5,979,ap
6,2815,ples
7,28725,","
8,442,or
9,5897,anges
10,28725,","
11,8743,ban
12,16983,anas
13,28725,","
14,847,gr
15,7722,apes
16,28725,","
17,18393,straw
18,28363,berries
19,28725,","
20,5045,blue
21,28363,berries
22,28725,","
23,446,k
24,11889,iw
25,278,is
26,28725,","
27,290,m
28,602,ang
29,6496,oes
30,28725,","
31,23683,pine
32,377,ap
33,2815,ples
34,28725,","
35,304,and
36,2130,water
37,12625,mel
38,1053,ons
39,28723,.
40,2,</s>
