step,token_id,decoded
1,1551,To
2,1038,make
3,264,a
4,757,pe
5,276,an
6,329,ut
7,11488,butter
8,304,and
9,461,j
10,9985,elly
11,28267,sandwich
12,28725,","
13,368,you
14,622,will
15,927,need
16,272,the
17,2296,following
18,13506,ingredients
19,28747,:
20,10714,bread
21,28725,","
22,757,pe
23,276,an
24,329,ut
25,11488,butter
26,28725,","
27,304,and
28,461,j
29,9985,elly
30,28723,.
31,4003,Here
32,460,are
33,272,the
34,5944,steps
35,298,to
36,1038,make
37,456,this
38,28267,sandwich
39,28747,:
40,13,"
"
41,13,"
"
42,28740,1
43,28723,.
44,4205,First
45,28725,","
46,368,you
47,927,need
48,298,to
49,625,get
50,264,a
51,16163,slice
52,302,of
53,10714,bread
54,28723,.
55,6746,Make
56,1864,sure
57,378,it
58,349,is
59,459,not
60,20880,mold
61,28724,y
62,442,or
63,341,st
64,883,ale
65,28723,.
66,13,"
"
67,28750,2
68,28723,.
69,8580,Next
70,28725,","
71,368,you
72,927,need
73,298,to
74,6049,spread
75,264,a
76,7487,layer
77,302,of
78,757,pe
79,276,an
80,329,ut
81,11488,butter
82,356,on
83,624,one
84,2081,side
85,302,of
86,272,the
87,10714,bread
88,16163,slice
89,28723,.
90,1739,Be
91,11291,careful
92,459,not
93,298,to
94,938,use
95,1368,too
96,1188,much
97,442,or
98,1368,too
99,1628,little
100,757,pe
101,276,an
102,329,ut
103,11488,butter
104,28723,.
105,13,"
"
106,28770,3
107,28723,.
108,2530,After
109,369,that
110,28725,","
111,368,you
112,927,need
113,298,to
114,6049,spread
115,264,a
116,7487,layer
117,302,of
118,461,j
119,9985,elly
120,356,on
121,272,the
122,799,other
123,2081,side
124,302,of
125,272,the
126,10714,bread
127,16163,slice
128,28723,.
129,9706,Again
130,28725,","
131,347,be
132,11291,careful
133,459,not
134,298,to
135,938,use
136,1368,too
137,1188,much
138,442,or
139,1368,too
140,1628,little
141,461,j
142,9985,elly
143,28723,.
144,13,"
"
145,28781,4
146,28723,.
147,8126,Finally
148,28725,","
149,368,you
150,927,need
151,298,to
152,2848,close
153,272,the
154,28267,sandwich
155,486,by
156,20632,placing
157,272,the
158,799,other
159,16163,slice
160,302,of
