step,entropy
0,
1,1.3068024
2,7.795541e-05
3,0.00025756567
4,1.0299368
5,0.12957354
6,2.757072
7,0.005967172
8,0.004654575
9,0.7887709
10,3.7050023
11,0.017512498
12,1.2776244
13,1.6693318
14,0.99550605
15,0.07305164
16,2.0030942
17,0.039104305
18,0.0022203107
19,0.038703363
20,1.9591371
21,0.6369581
22,2.206192
23,4.075339
24,2.1911716
25,1.2087494
26,2.9502723
27,2.3418474
28,0.42084694
29,0.98931426
30,1.351304
31,1.5294405e-05
32,1.1424272
33,0.7601129
34,5.242687e-06
35,0.81520784
36,0.012499295
37,0.9481604
38,0.014908819
39,1.1436827
40,1.2290072
41,2.170867
42,2.7936888
43,0.81302446
44,0.99251956
45,9.7676875e-06
46,0.0005209852
47,0.7624332
48,1.3293768
49,0.51938784
50,0.81578296
51,0.8312244
52,0.11791582
53,0.08387555
54,0.57393795
