step,head_agreement
0,
1,0.20294468
2,0.1577681
3,0.1424451
4,0.29355535
5,0.1452491
6,0.1503705
7,0.16355191
8,0.24423428
9,0.28394926
10,0.25305304
11,0.22658351
12,0.1535664
13,0.29399928
14,0.2954615
15,0.18046533
16,0.21854621
17,0.25965887
18,0.31482002
19,0.2626418
20,0.24532843
21,0.27357906
22,0.19440927
23,0.24591312
24,0.24524516
25,0.26218024
26,0.18348038
27,0.461965
28,0.29795578
29,0.28491512
30,0.1973979
31,0.29047406
32,0.28121513
33,0.3799006
34,0.19002001
35,0.17013076
36,0.31692594
37,0.3955183
38,0.33892938
39,0.30643332
40,0.33699724
41,0.35362142
42,0.22749346
43,0.29306403
44,0.32787284
45,0.21289662
46,0.29260755
47,0.14806391
48,0.29103088
49,0.2495913
50,0.29712948
51,0.2720826
52,0.23447351
53,0.29122788
54,0.1977159
55,0.23577064
56,0.16721222
57,0.22609341
58,0.25629067
59,0.19156937
60,0.19462733
61,0.23649004
62,0.1516255
63,0.21461058
64,0.23240861
65,0.2075899
66,0.2260326
67,0.25831553
68,0.20764874
69,0.30002376
70,0.21307535
71,0.21288015
72,0.24865617
73,0.20853798
74,0.25035155
75,0.16557255
76,0.19781049
77,0.2012789
