step,entropy
0,
1,1.51442
2,0.64920545
3,1.7305738
4,5.5814762e-05
5,0.7118596
6,1.7927041
7,1.5065196e-05
8,0.26010686
9,0.4865124
10,0.039620873
11,0.41752884
12,0.0025977544
13,1.6039361e-05
14,4.143916e-05
15,3.4603512e-05
16,9.226643e-05
17,7.086399e-07
18,1.4346907
19,1.7348168
20,1.7233667
21,0.86383384
22,0.4297591
23,0.00012137176
24,0.3858781
25,0.003683941
26,1.5158487e-05
27,0.00010321433
28,0.12052354
29,1.4480011
30,0.00851133
31,0.87294173
32,0.009966214
33,3.9088634e-05
34,0.44558847
35,0.00069192465
36,0.00014054439
37,1.0369089
38,0.41042334
39,1.0886198
40,0.00023653616
41,0.0027862226
42,0.75789607
43,0.0154276155
44,0.22919504
45,0.5769713
46,0.75454664
47,0.5826245
48,0.915392
49,1.1521277
50,1.4735762
51,0.9608725
52,0.9476849
53,1.8849752
54,8.6323314e-05
55,1.4516356
56,1.0135858
57,1.2431297
58,0.14495765
59,0.0004669588
60,1.5166774
61,1.7664121
62,0.13760725
63,1.0119708
64,0.32933873
65,0.038674165
66,1.0317717
67,0.6557198
68,1.3779261
69,1.592002
70,0.36507648
71,0.012991759
72,0.011934117
73,0.6121757
74,0.18561934
75,1.2401459
76,0.00333028
77,0.30383566
78,0.02631432
79,1.2659156e-05
80,0.0045016315
81,0.00033608236
82,8.842005e-05
83,1.5374495
84,1.4373211
85,1.3369256
86,0.06817372
87,1.6718852e-05
88,0.00026748917
89,0.54463875
90,1.1896191
91,0.46893358
92,0.11102173
93,0.8845806
94,0.02939196
95,0.010306528
96,0.031658065
97,0.4944652
98,0.015745709
99,0.25467366
100,1.2986615
101,0.007037195
102,0.0031595437
103,0.019515762
104,0.61068624
105,1.3426031
106,1.9549704
107,0.43039316
108,0.784099
109,1.4724917
110,1.9028676e-05
111,1.2992667
112,0.09222686
113,1.487465
114,0.0359105
115,0.98584807
116,2.094792
117,0.021562334
118,0.004724876
119,0.017091312
120,0.016612213
121,1.0883517
122,0.6862938
123,1.2397027
124,1.0173516
125,0.2678615
126,1.8407421
127,0.17030779
128,2.2178004
129,0.92650545
130,0.00061755686
131,1.7648169
132,0.8010321
133,0.4003028
134,2.597392
