step,per_step_all,per_step_mid
0,0.11281675,0.12029565
1,0.08428868,0.07834569
2,0.05453801,0.038984038
3,0.04366017,0.031924233
4,0.035292044,0.027982473
5,0.04918024,0.04600735
6,0.05321765,0.04244189
7,0.045589726,0.0357239
8,0.042320546,0.035322305
9,0.037861824,0.028999658
10,0.08093887,0.051064767
11,0.03910063,0.030162388
12,0.035200074,0.025918972
13,0.032788593,0.025162583
14,0.044496514,0.03815723
15,0.050397377,0.04183302
16,0.067898765,0.06690859
17,0.03707881,0.03114782
18,0.034741905,0.028560312
19,0.03848463,0.036087032
20,0.049698696,0.043210533
21,0.050869334,0.04696016
22,0.050218787,0.04131262
23,0.07584417,0.06974482
24,0.039589323,0.034304008
25,0.03637108,0.02917277
26,0.039312396,0.031421296
27,0.041329995,0.032897897
28,0.040633477,0.03379739
29,0.045078795,0.037304007
30,0.042260025,0.033130363
31,0.033805903,0.028050838
32,0.03981594,0.03674398
33,0.038963128,0.034901597
34,0.037210405,0.03087117
35,0.039833426,0.031192945
36,0.036862485,0.026164293
37,0.048135582,0.045563545
38,0.06938165,0.063704155
39,0.04408609,0.036843047
40,0.042137947,0.03325308
41,0.041871842,0.033158302
42,0.035004362,0.02985964
43,0.036834244,0.026762532
44,0.043179713,0.035659373
45,0.035183914,0.030178385
46,0.039762218,0.03294505
47,0.038109962,0.031543903
48,0.037618414,0.031901535
49,0.038040426,0.030278295
50,0.040589128,0.038069952
51,0.07417711,0.077564314
52,0.057005726,0.051816616
53,0.055569313,0.04810414
54,0.0479376,0.04051639
55,0.04130177,0.03438118
56,0.03934035,0.031266514
57,0.04058498,0.03615911
58,0.03477885,0.02913035
59,0.04574337,0.04175754
60,0.05086399,0.052318834
61,0.047952294,0.044727433
62,0.04107582,0.034268487
63,0.043065965,0.036987506
64,0.041114233,0.035559133
65,0.041452568,0.03471995
66,0.04007663,0.030935667
67,0.046266753,0.041911107
68,0.08879914,0.09537799
