step,entropy
0,
1,0.33304864
2,0.79573804
3,0.007039384
4,0.014955727
5,0.00015195023
6,0.11706052
7,0.30277306
8,0.73114073
9,1.1524994
10,0.88467795
11,0.84929955
12,1.1143603
13,1.3911812
14,7.751362e-06
15,1.8185753
16,1.6702995
17,0.095938876
18,0.021453746
19,1.1040963
20,0.37368178
21,0.069179185
22,1.2438565
23,1.9291313
24,1.5097356
25,3.0142579e-05
26,0.00011727536
27,1.2309115
28,0.57110286
29,1.4971852
30,6.162006e-06
31,0.0010554139
32,1.5458852
33,1.0981436
34,0.004887672
35,0.9988941
36,1.413152
37,0.42328635
38,0.6392387
39,0.5332107
40,1.1086165
41,0.33403686
42,1.8096373
43,1.5263522
44,0.17331699
45,0.17085359
46,1.0782145
47,1.8803399
48,0.92160064
49,0.06516484
50,1.4614003
51,1.0677326
52,1.2303982
53,1.1379138
54,1.9976435
55,2.0490787
56,0.029069904
57,0.99253905
58,0.21550132
59,0.7675177
60,0.69615996
61,0.1873304
62,1.0683539
63,6.771552e-05
64,1.4614381
65,1.9296616
66,0.9500936
67,0.75997794
68,0.079476506
69,0.003891284
70,1.7113836
71,0.0003039916
72,0.4389819
73,1.7181215
74,0.00017577206
75,0.45920038
76,0.98817563
77,2.620172
78,1.7690798
79,0.8589955
80,0.3332356
81,0.0014978242
82,0.0042571765
83,0.03492073
84,1.9578984
85,2.735488
86,1.7889347
87,2.2437649
88,3.4035504
89,0.99168104
90,0.007194118
91,2.0941453
92,0.5726222
93,1.0488212
94,2.1260977
95,0.03096623
96,0.04768469
97,0.7548321
