step,head_agreement
0,
1,0.19980164
2,0.22894983
3,0.35618016
4,0.25423688
5,0.26061344
6,0.19645049
7,0.26056993
8,0.2782834
9,0.3989115
10,0.21593626
11,0.24658766
12,0.22620325
13,0.22479911
14,0.23850809
15,0.26870185
16,0.25797242
17,0.40706047
18,0.3078183
19,0.43670216
20,0.4873856
21,0.42811167
22,0.45584255
23,0.459609
24,0.45151043
25,0.46894854
26,0.31507602
27,0.33128533
28,0.39338127
29,0.40762216
30,0.4443689
31,0.4067415
32,0.39170387
33,0.27788898
34,0.34538415
35,0.35931316
36,0.28368333
37,0.44265687
38,0.41934547
39,0.23305517
40,0.19133602
41,0.21393146
42,0.30539277
43,0.25031382
44,0.25326744
45,0.23097657
46,0.23880932
47,0.2222568
48,0.12250263
49,0.1858771
50,0.18805781
51,0.18648075
52,0.15277015
