step,token_id,decoded
1,1083,I
2,29510,'
3,29487,m
4,5378,happy
5,1066,to
6,4866,share
7,2639,information
8,1452,about
9,2480,three
10,28324,renown
11,1054,ed
12,11379,artists
13,2439,without
14,5157,mention
15,1056,ing
16,1040,the
17,1122,for
18,21118,bidden
19,2618,term
20,29491,.
21,4771,Here
22,1228,are
23,2480,three
24,11379,artists
25,3419,known
26,1122,for
27,1420,their
28,6632,significant
29,14804,contributions
30,1066,to
31,1040,the
32,2292,art
33,2294,world
34,29515,:
35,781,"
"
36,781,"
"
37,29508,1
38,29491,.
39,12383,Leon
40,10517,ardo
41,2634,da
42,13438,Vin
43,1957,ci
44,29515,:
45,1862,An
46,10856,Italian
47,13139,poly
48,1696,math
49,1461,who
50,1117,is
51,2397,arg
52,29486,u
53,2675,ably
54,1392,one
55,1070,of
56,1040,the
57,10700,greatest
58,4126,pain
59,2300,ters
60,1065,in
61,4108,history
62,29493,","
63,2257,best
64,3419,known
65,1122,for
66,4559,works
67,1505,like
68,1040,the
69,3985,Mon
70,29476,a
71,19767,Lisa
72,1072,and
73,1183,The
74,8458,Last
75,9699,Sup
76,1255,per
77,29491,.
78,781,"
"
79,29518,2
80,29491,.
81,21171,Vincent
82,2465,van
83,1188,G
84,1244,og
85,29484,h
86,29515,:
87,1098,A
88,15506,Dutch
89,2472,post
90,29501,-
91,1089,im
92,3438,pression
93,1160,ist
94,25140,painter
95,1461,who
96,4627,created
97,1522,over
98,29473,
99,29518,2
100,29493,","
101,29508,1
102,29502,0
103,29502,0
104,2292,art
105,17875,works
106,29493,","
107,3258,including
108,8151,Star
109,1411,ry
110,11125,Night
111,1072,and
112,7825,Sun
113,5124,flow
114,1172,ers
115,29491,.
116,781,"
"
117,29538,3
118,29491,.
119,1135,P
120,23634,ablo
121,18089,Pic
122,24373,asso
123,29515,:
124,1098,A
125,10945,Spanish
126,25140,painter
127,1072,and
128,16477,sculpt
129,1039,or
130,1461,who
131,1769,co
132,29501,-
133,9784,found
134,1054,ed
135,1040,the
136,13305,Cub
137,1160,ist
138,7017,movement
139,29493,","
140,9144,famous
141,1122,for
142,4559,works
143,2027,such
144,1158,as
145,3248,Gu
146,1941,ern
147,2054,ica
148,1072,and
149,5341,Les
150,5035,Dem
151,6396,ois
152,9436,elles
153,1049,d
154,29510,'
155,10037,Av
156,1371,ign
157,1034,on
158,29491,.
159,2,</s>
