step,head_agreement
0,
1,0.21738383
2,0.23771046
3,0.10276439
4,0.1167393
5,0.13648005
6,0.21556515
7,0.21696968
8,0.085462734
9,0.17103395
10,0.13872732
11,0.16830072
12,0.17869216
13,0.15970178
14,0.19036172
15,0.24591066
16,0.22583394
17,0.3646482
18,0.20215033
19,0.16645297
20,0.20872387
21,0.14803176
22,0.20267208
23,0.20013954
24,0.16968791
25,0.2301083
26,0.2106912
27,0.15060528
28,0.21935576
29,0.28417987
30,0.25656256
31,0.26726955
32,0.3104118
33,0.33246666
34,0.31456092
35,0.32839176
36,0.26223847
37,0.31387258
38,0.3131631
39,0.22378378
40,0.30611843
41,0.31782454
42,0.32337925
43,0.36011112
44,0.25354412
45,0.29048944
46,0.3100361
47,0.27809003
48,0.29666132
49,0.26330912
50,0.17158754
51,0.09969375
52,0.164707
53,0.23891334
54,0.114955924
55,0.19203342
56,0.09880702
57,0.09612597
58,0.20156363
59,0.27166957
60,0.1841002
61,0.15722454
62,0.14260668
63,0.22746128
64,0.14610629
65,0.16978325
66,0.25157252
67,0.29231954
68,0.12757379
69,0.07172849
70,0.1457318
71,0.091202736
72,0.06464721
73,0.10030562
74,0.10116567
75,0.07484474
76,0.13268474
77,0.23155123
78,0.1250042
79,0.14533669
80,0.16898999
81,0.112175666
82,0.16634868
83,0.15765218
84,0.19871868
85,0.16376
86,0.13873707
87,0.12186796
88,0.102535486
