step,token_id,decoded
1,1429,It
2,1117,is
3,8742,essential
4,1122,for
5,4886,various
6,4024,phys
7,29478,i
8,5191,ological
9,1072,and
10,26514,cognitive
11,10305,processes
12,29491,.
13,24795,Sleep
14,8031,helps
15,1065,in
16,5501,memory
17,23736,consolid
18,1120,ation
19,29493,","
20,5936,learning
21,29493,","
22,1072,and
23,18645,maintaining
24,8312,overall
25,7155,brain
26,3296,health
27,29491,.
28,6981,During
29,5057,sleep
30,29493,","
31,1040,the
32,2955,body
33,25535,repairs
34,1072,and
35,27087,regener
36,1770,ates
37,1029,t
38,20242,issues
39,29493,","
40,24798,builds
41,14824,bone
42,1072,and
43,15308,muscle
44,29493,","
45,1072,and
46,16742,strengthen
47,29481,s
48,1040,the
49,21698,immune
50,2355,system
51,29491,.
52,1429,It
53,1603,also
54,9696,plays
55,1032,a
56,13808,crucial
57,4673,role
58,1065,in
59,1751,reg
60,14390,ulating
61,13015,mood
62,29493,","
63,28849,appetite
64,29493,","
65,1072,and
66,2192,met
67,22298,abol
68,2211,ism
69,29491,.
70,1161,L
71,1236,ack
72,1070,of
73,5057,sleep
74,1309,can
75,2504,lead
76,1066,to
77,7138,fat
78,12984,igue
79,29493,","
80,17186,irrit
81,3205,ability
82,29493,","
83,1072,and
84,3592,imp
85,27951,aired
86,26514,cognitive
87,1676,function
88,29491,.
89,2,</s>
