step,token_id,decoded
1,1859,Se
2,5731,asons
3,3036,change
4,3708,due
5,1066,to
6,1040,the
7,25526,tilt
8,1070,of
9,1040,the
10,9367,Earth
11,29510,'
12,29481,s
13,11790,axis
14,8754,relative
15,1066,to
16,1639,its
17,19315,orbit
18,2169,around
19,1040,the
20,7825,Sun
21,29491,.
22,1183,The
23,25526,tilt
24,10878,causes
25,2349,different
26,5867,parts
27,1070,of
28,1040,the
29,9367,Earth
30,1066,to
31,6324,receive
32,1448,more
33,1210,or
34,2876,less
35,2631,direct
36,23718,sunlight
37,6241,throughout
38,1040,the
39,1647,year
40,29493,","
41,11271,resulting
42,1065,in
43,23080,varying
44,18759,temperatures
45,1072,and
46,8854,weather
47,12301,patterns
48,29491,.
49,1619,This
50,21525,phenomenon
51,1117,is
52,1227,not
53,5970,related
54,1066,to
55,1475,any
56,1122,for
57,21118,bidden
58,2618,term
59,29491,.
60,2,</s>
