k,cum_mean_std_all,cum_mean_std_mid
1,0.12655382,0.13439065
2,0.11165148,0.114270814
3,0.10600395,0.10831094
4,0.10180889,0.103130974
5,0.10246885,0.10534251
6,0.10535306,0.11000121
7,0.10468066,0.10929924
8,0.11033139,0.1132754
9,0.11370359,0.118132845
10,0.112252355,0.11668309
11,0.11211342,0.11636619
12,0.111053295,0.11498623
13,0.10912825,0.11279134
14,0.10807727,0.111850455
15,0.110181734,0.114629045
16,0.11196242,0.11702685
17,0.11304942,0.118303254
18,0.11462867,0.12027229
19,0.11667219,0.12290566
20,0.12002562,0.1275058
21,0.123390265,0.13137618
22,0.1271625,0.13599677
23,0.12949054,0.13856716
24,0.13190258,0.14174049
25,0.13373893,0.14371628
26,0.13487892,0.14530529
27,0.13583133,0.14614153
28,0.13561943,0.14602508
29,0.13702856,0.148243
30,0.13794461,0.1498492
31,0.13855916,0.15106446
32,0.13931143,0.1523287
33,0.13912153,0.1521949
34,0.14032918,0.15410393
35,0.14190666,0.15623419
36,0.14328109,0.15747319
37,0.14498553,0.15929213
38,0.14587426,0.16003203
39,0.14595218,0.15998213
40,0.14487028,0.15843627
41,0.14344986,0.15638009
42,0.14199622,0.15447204
43,0.14139701,0.15383917
44,0.14061548,0.15264378
45,0.13982783,0.15175104
46,0.13932772,0.15118308
47,0.13931191,0.15118589
48,0.13854015,0.15030068
49,0.13788752,0.1494026
50,0.13743414,0.14874727
51,0.13675281,0.14784746
52,0.13592884,0.14668448
53,0.13503936,0.14555898
54,0.1342238,0.14454001
55,0.13350996,0.1436124
56,0.13289858,0.14287268
57,0.13236271,0.14207587
58,0.13178714,0.14139813
59,0.13157974,0.14122683
60,0.13165416,0.14123358
61,0.13171627,0.14132176
62,0.13138753,0.14093265
63,0.13099888,0.14059484
64,0.13067743,0.14020887
65,0.13051862,0.1400394
66,0.13050306,0.14018486
67,0.1304491,0.1401719
68,0.1300128,0.13962425
69,0.1299204,0.13954647
70,0.12987612,0.13951951
71,0.12970124,0.13936527
72,0.1294883,0.1391729
73,0.12926929,0.1389468
74,0.12910047,0.13876525
75,0.12877701,0.13830839
76,0.12852895,0.1380703
77,0.12843153,0.13802445
78,0.12825054,0.13785914
