step,token_id,decoded
1,1584,We
2,17663,celebrate
3,6718,birth
4,14066,days
5,1158,as
6,1032,a
7,1837,way
8,1066,to
9,2484,mark
10,1040,the
11,21869,anniversary
12,1070,of
13,1032,a
14,2106,person
15,29510,'
16,29481,s
17,6718,birth
18,1072,and
19,1066,to
20,1669,comm
21,29472,emor
22,1148,ate
23,1420,their
24,2179,life
25,29493,","
26,6825,growth
27,29493,","
28,1072,and
29,28632,achievements
30,29491,.
31,1429,It
32,1117,is
33,1032,a
34,9865,tradition
35,1137,that
36,6744,allows
37,1360,us
38,1066,to
39,4840,express
40,1581,our
41,2784,love
42,29493,","
43,26788,appreciation
44,29493,","
45,1072,and
46,1930,well
47,29501,-
48,29495,w
49,8905,ishes
50,1066,to
51,1040,the
52,4003,individual
53,29493,","
54,3376,often
55,1827,through
56,16741,gifts
57,29493,","
58,8977,parties
59,29493,","
60,1210,or
61,3609,special
62,17191,meals
63,29491,.
64,1183,The
65,21512,celebration
66,15217,serves
67,1158,as
68,1032,a
69,26331,reminder
70,1070,of
71,1040,the
72,5610,unique
73,8891,journey
74,1072,and
75,14804,contributions
76,1137,that
77,2106,person
78,1427,has
79,2037,made
80,1065,in
81,1420,their
82,2179,life
83,29493,","
84,1072,and
85,1146,it
86,6080,provides
87,1164,an
88,6469,opportunity
89,1122,for
90,4050,friends
91,1072,and
92,2773,family
93,1066,to
94,7527,gather
95,1072,and
96,4866,share
97,13375,memories
98,29491,.
99,1619,This
100,9865,tradition
101,1117,is
102,8743,observed
103,1065,in
104,2055,many
105,20594,cultures
106,2169,around
107,1040,the
108,2294,world
109,29493,","
110,6200,although
111,1040,the
112,3716,specific
113,28621,customs
114,1072,and
115,11647,practices
116,1761,may
117,11972,vary
118,29491,.
119,2,</s>
