step,head_agreement
0,
1,0.2063989
2,0.09635067
3,0.22716792
4,0.15533762
5,0.10874654
6,0.09716714
7,0.1471672
8,0.08135203
9,0.2289911
10,0.13697933
11,0.1617441
12,0.21618661
13,0.19908059
14,0.2718885
15,0.17435844
16,0.20991793
17,0.09064836
18,0.09839654
19,0.15924199
20,0.32052344
21,0.2875932
22,0.25873572
23,0.31458822
24,0.26116583
25,0.25467044
26,0.28242475
27,0.22632478
28,0.23328638
29,0.2739865
30,0.26568186
31,0.22936593
32,0.2327363
33,0.19132188
34,0.19382724
35,0.17748226
36,0.17155012
37,0.20114705
38,0.24718444
