k,cum_mean_std_all,cum_mean_std_mid
1,0.10938022,0.10846966
2,0.102918595,0.099266425
3,0.09973397,0.096004166
4,0.09752157,0.09395616
5,0.0987664,0.09666919
6,0.09690032,0.095114134
7,0.09605976,0.094680905
8,0.0966704,0.09569587
9,0.097095214,0.09589631
10,0.096653685,0.09567342
11,0.098269634,0.0978199
12,0.098324604,0.098349065
13,0.09878661,0.09942584
14,0.10177881,0.10362853
15,0.10309742,0.10505339
16,0.10255812,0.1043288
17,0.102306835,0.10422939
18,0.10195181,0.103730164
19,0.10142669,0.10308593
20,0.10026471,0.10163882
21,0.09967076,0.10111391
22,0.099332124,0.10084777
23,0.099183716,0.100712955
24,0.099414825,0.10120875
25,0.099324025,0.10105947
26,0.09924981,0.10104901
27,0.098765604,0.100431904
28,0.09821693,0.099786945
29,0.09763783,0.0992141
30,0.0979148,0.099760935
31,0.09833195,0.10050691
32,0.09836266,0.10074347
33,0.09930122,0.102223285
34,0.09974712,0.102797925
35,0.09997608,0.10311514
36,0.100015506,0.10298978
37,0.09927854,0.10202415
38,0.098446794,0.10095427
39,0.097835585,0.100180306
40,0.097092256,0.09920491
41,0.09640418,0.098386884
42,0.095939465,0.097505115
43,0.0956031,0.0969202
44,0.095432825,0.09686413
45,0.095413886,0.09693346
46,0.09527574,0.09687733
47,0.095232874,0.09692753
48,0.09537103,0.097189315
49,0.095646605,0.09763545
50,0.09599438,0.09818248
51,0.09624008,0.09854371
52,0.09630417,0.09874165
53,0.09640831,0.09907775
54,0.096283086,0.09908187
55,0.09635164,0.09932121
56,0.096320435,0.09937956
57,0.09646273,0.099621035
58,0.0965235,0.0997967
59,0.096574344,0.099802665
60,0.09658048,0.09983013
61,0.09655169,0.09990763
62,0.096538365,0.10006374
63,0.096476935,0.1000468
64,0.096321136,0.09994592
65,0.096389376,0.10012079
66,0.09632132,0.10005883
67,0.09621284,0.099964894
68,0.096272945,0.100139886
69,0.09617226,0.10009961
70,0.0963688,0.100380585
71,0.096917965,0.101180285
72,0.09670124,0.10090915
73,0.09651069,0.100682005
74,0.09634124,0.10044447
75,0.09617916,0.10026508
76,0.09607203,0.10007214
77,0.09602174,0.10001289
78,0.09602327,0.10002874
79,0.09594606,0.09995324
80,0.095937684,0.099967755
81,0.09578094,0.09978849
82,0.09557345,0.0994197
83,0.09526223,0.099002756
84,0.09499629,0.098644406
85,0.094770804,0.09835412
86,0.094749115,0.09840026
87,0.09459465,0.098210014
88,0.094465494,0.098083586
89,0.09435077,0.09796365
90,0.09449214,0.098183654
91,0.0943854,0.09808141
92,0.094215944,0.09790794
93,0.0945306,0.09839004
94,0.09449129,0.098360054
95,0.09449061,0.09814428
96,0.09452043,0.09821547
97,0.09461679,0.098331645
98,0.09495538,0.09875486
99,0.09525108,0.09920554
100,0.095450595,0.09950086
101,0.09582163,0.10001037
102,0.09578051,0.09994211
103,0.09565665,0.09977342
104,0.09544567,0.0995318
105,0.095318146,0.09938189
106,0.09516236,0.099170074
107,0.094994836,0.09895628
108,0.0951056,0.09910479
109,0.09511671,0.09912138
110,0.09507584,0.09910636
111,0.095200144,0.09925684
112,0.09521006,0.099293746
113,0.09516977,0.09928209
114,0.0951893,0.0993361
115,0.09520347,0.09936333
116,0.09514479,0.09930002
117,0.095073424,0.099189736
118,0.09507503,0.09914277
119,0.09512803,0.099209875
120,0.09511818,0.09922114
121,0.094938554,0.098984085
122,0.094922595,0.098982245
123,0.09490724,0.0989403
124,0.09478311,0.0987391
125,0.094521604,0.09842646
126,0.094436415,0.09833405
127,0.09437706,0.09823948
128,0.094262674,0.09809467
129,0.09416707,0.09794971
130,0.09433801,0.09822332
131,0.09454111,0.09854385
132,0.09457045,0.09855831
133,0.09461661,0.09862919
134,0.09455957,0.0984794
135,0.09455917,0.098464906
136,0.09459726,0.09849288
137,0.09454251,0.09841881
138,0.09448874,0.09835681
139,0.09444209,0.09830711
140,0.09441226,0.09828064
141,0.0943672,0.098232545
142,0.09437483,0.09822869
143,0.09432767,0.09814262
144,0.09423443,0.09803617
145,0.09416528,0.09791608
146,0.09404441,0.09775751
147,0.09399169,0.097651556
148,0.09392072,0.097577415
149,0.09386197,0.09746334
150,0.09379661,0.097367875
151,0.09365318,0.09716365
152,0.093490526,0.0969221
153,0.093410164,0.09682108
154,0.09350863,0.09698825
155,0.093755044,0.09730402
156,0.09414213,0.09773048
157,0.09431679,0.097967505
158,0.09472847,0.09853124
159,0.09500979,0.098893166
