step,token_id,decoded
1,3755,Rec
2,9591,ycl
3,288,ing
4,349,is
5,272,the
6,1759,process
7,302,of
8,9105,conver
9,1157,ting
10,9396,waste
11,7069,materials
12,778,into
13,312,re
14,381,us
15,522,able
16,1083,sub
17,8732,stances
18,28723,.
19,661,It
20,349,is
21,2278,important
22,1096,because
23,378,it
24,7263,helps
25,7643,reduce
26,27702,pollution
27,28725,","
28,6961,conserv
29,274,es
30,4229,natural
31,5823,resources
32,28725,","
33,304,and
34,21123,reduces
35,272,the
36,3558,amount
37,302,of
38,9396,waste
39,369,that
40,9675,ends
41,582,up
42,297,in
43,2533,land
44,28722,f
45,2767,ills
46,28723,.
47,2,</s>
