step,head_agreement
0,
1,0.2104527
2,0.21507467
3,0.17767268
4,0.19724138
5,0.23991258
6,0.22862922
7,0.19402008
8,0.26934606
9,0.23341219
10,0.27371207
11,0.22766635
12,0.2945663
13,0.2193165
14,0.21172352
15,0.292123
16,0.22612756
17,0.212103
18,0.19048224
19,0.2752044
20,0.18485564
21,0.22531883
22,0.2387995
23,0.19638608
24,0.28060797
25,0.23466718
26,0.25011897
27,0.23216492
28,0.24798962
29,0.26308185
30,0.22710207
31,0.20626754
32,0.21484104
33,0.20398945
34,0.23876211
35,0.20295893
36,0.27340052
37,0.18242654
38,0.21685876
39,0.23425339
40,0.15703829
41,0.20952168
42,0.1836976
43,0.21431871
44,0.16577017
45,0.11813181
46,0.2026525
47,0.24129614
48,0.2986972
49,0.24104653
50,0.18228883
51,0.30831012
52,0.2887793
53,0.30817416
54,0.18588467
55,0.26471603
56,0.26980036
57,0.35921127
58,0.3397982
59,0.28927696
60,0.45462662
61,0.33453915
62,0.35672453
63,0.43581387
64,0.48165828
65,0.37331864
66,0.4092996
67,0.41766563
68,0.40510854
69,0.41103214
70,0.37679857
71,0.43271527
72,0.41387483
73,0.2692887
74,0.19343755
75,0.3331141
76,0.32049736
77,0.3762016
78,0.340313
79,0.3142999
80,0.17052186
81,0.10349131
82,0.12568165
83,0.1813521
84,0.2104072
85,0.15392514
86,0.17177781
87,0.24853241
88,0.15150009
89,0.20793758
90,0.1640377
91,0.16143718
92,0.21548468
93,0.15713541
94,0.21430641
95,0.21721317
96,0.1399217
97,0.16781749
98,0.2748231
99,0.25566074
100,0.15294202
101,0.25883448
102,0.25173345
103,0.20170017
104,0.20943253
105,0.14361237
106,0.11891264
107,0.17899592
108,0.17101274
109,0.14503677
110,0.18286055
111,0.1636302
112,0.19358923
113,0.20024326
114,0.26076618
115,0.20390101
116,0.2540078
117,0.21070772
118,0.23491706
119,0.16944994
120,0.17505513
121,0.2581467
122,0.29847443
123,0.20998044
124,0.23849033
125,0.2626369
126,0.26338655
127,0.15845764
128,0.20339943
129,0.15684004
130,0.35112062
131,0.22719027
132,0.06694759
133,0.0913552
134,0.11071402
135,0.123076014
136,0.1947946
