k,cum_mean_std_all,cum_mean_std_mid
1,0.13038974,0.13810737
2,0.12195873,0.12904698
3,0.115912475,0.1226164
4,0.12057559,0.13079682
5,0.124769494,0.13743311
6,0.12419677,0.13547583
7,0.12260284,0.13373765
8,0.12364779,0.13438866
9,0.12195733,0.13163777
10,0.119472384,0.1286184
11,0.11633094,0.12413046
12,0.11292568,0.11945864
13,0.109651215,0.11562607
14,0.10819576,0.11318232
15,0.10744407,0.1128112
16,0.10962497,0.115836814
17,0.11173864,0.119091816
18,0.11571014,0.124778114
19,0.11770759,0.1271275
20,0.11966344,0.13000754
21,0.12067301,0.13140962
22,0.12267475,0.134596
23,0.1241796,0.13721262
24,0.12455782,0.13756882
25,0.12542048,0.13927628
26,0.1259105,0.140056
27,0.1248211,0.13880238
28,0.12506595,0.13938384
29,0.12358759,0.13734029
30,0.12314555,0.13701782
31,0.12388277,0.13834016
32,0.124270186,0.13880786
33,0.124910586,0.13981372
34,0.1257886,0.14107414
35,0.12744373,0.14327155
36,0.1275911,0.14338537
37,0.12677784,0.14235197
38,0.1271978,0.14281236
39,0.12644002,0.14180939
40,0.12553164,0.14061736
41,0.12539649,0.14046115
42,0.12570031,0.14109056
43,0.12669334,0.14257607
44,0.12799479,0.14441504
45,0.12863037,0.14542717
46,0.12958355,0.14691141
47,0.13101071,0.14891759
48,0.13256508,0.15034594
49,0.13430032,0.15226662
50,0.13548246,0.15315986
51,0.13591298,0.15360184
52,0.13538496,0.15282014
53,0.13528253,0.15261722
54,0.13499914,0.15224521
55,0.13467523,0.15200105
56,0.1342584,0.15145735
57,0.1335972,0.15044768
58,0.13287745,0.1494896
59,0.13260072,0.14913148
60,0.1321819,0.14870638
61,0.13198136,0.14844956
62,0.13262902,0.1494403
63,0.13353509,0.15081474
64,0.13394807,0.15111491
65,0.1350432,0.15228339
66,0.1354854,0.15257382
67,0.13500722,0.1519342
68,0.13429406,0.15102425
69,0.13402975,0.15033172
70,0.1331514,0.1492679
71,0.13237031,0.14836863
72,0.131464,0.147264
73,0.13089603,0.14662854
74,0.13023134,0.14578477
75,0.12996264,0.14554366
