step,head_agreement
0,
1,0.18397313
2,0.27008432
3,0.33888903
4,0.23583023
5,0.3755326
6,0.3019773
7,0.29124367
8,0.5302897
9,0.31626293
10,0.51626146
11,0.3419236
12,0.3723976
13,0.48697427
14,0.3275213
15,0.2982995
16,0.41673446
17,0.22997686
18,0.32468548
19,0.3128464
20,0.39362276
21,0.45862183
22,0.4214136
23,0.34764427
24,0.4176474
25,0.41287056
26,0.4249567
27,0.4416197
28,0.38273075
29,0.37566367
30,0.340674
31,0.356476
32,0.3573353
33,0.4142483
34,0.43153977
35,0.4563229
36,0.30249092
37,0.34019083
38,0.40785515
39,0.44068474
40,0.35046783
41,0.45993486
42,0.41551575
43,0.41161597
44,0.34154665
45,0.44125718
46,0.40670526
47,0.38722846
48,0.3417782
49,0.36771318
50,0.40828004
51,0.45637646
52,0.40802044
53,0.27566138
54,0.43221608
55,0.57763034
56,0.39767617
57,0.42207715
58,0.32459274
59,0.2541146
60,0.3626271
61,0.36829206
62,0.3545626
63,0.4058781
64,0.33035105
65,0.42719173
66,0.41964212
67,0.41184193
68,0.42044124
69,0.44611058
70,0.41843373
71,0.38331187
72,0.34562132
73,0.46673548
74,0.41998914
75,0.45443755
76,0.3018259
