step,token_id,decoded
1,1183,The
2,2527,process
3,1070,of
4,8817,leaves
5,9402,changing
6,3949,color
7,1065,in
8,1040,the
9,3717,fall
10,1117,is
11,1032,a
12,4997,natural
13,21525,phenomenon
14,3419,known
15,1158,as
16,1113,""""
17,1996,aut
18,2554,umn
19,1050,al
20,3949,color
21,1120,ation
22,1379,"."""
23,1619,This
24,12790,occurs
25,3708,due
26,1066,to
27,5203,changes
28,1065,in
29,1040,the
30,4326,amount
31,1070,of
32,1252,ch
33,6406,lor
34,3894,oph
35,20298,yll
36,29493,","
37,1040,the
38,19726,pig
39,1234,ment
40,8100,responsible
41,1122,for
42,1040,the
43,6112,green
44,3949,color
45,1070,of
46,8817,leaves
47,29493,","
48,1072,and
49,1040,the
50,5653,production
51,1070,of
52,1567,other
53,19726,pig
54,2107,ments
55,2027,such
56,1158,as
57,2021,car
58,1090,ot
59,1037,en
60,18421,oids
61,1072,and
62,20787,anth
63,1170,oc
64,9223,yan
65,1894,ins
66,29491,.
67,781,"
"
68,781,"
"
69,2966,As
70,1040,the
71,2970,days
72,1393,get
73,20135,shorter
74,1072,and
75,1040,the
76,8409,temperature
77,5874,cool
78,29481,s
79,29493,","
80,7867,trees
81,2883,stop
82,16113,producing
83,1252,ch
84,6406,lor
85,3894,oph
86,20298,yll
87,29493,","
88,1458,which
89,6744,allows
90,1040,the
91,1567,other
92,19726,pig
93,2107,ments
94,1066,to
95,3495,become
96,9909,visible
97,29491,.
98,3132,Car
99,1090,ot
100,1037,en
101,18421,oids
102,29493,","
103,1458,which
104,1274,have
105,1518,been
106,2937,present
107,1065,in
108,1040,the
109,8817,leaves
110,1312,all
111,3035,along
112,1330,but
113,1422,were
114,6702,mask
115,1054,ed
116,1254,by
117,1040,the
118,6112,green
119,1252,ch
120,6406,lor
121,3894,oph
122,20298,yll
123,29493,","
124,2879,give
125,8817,leaves
126,1420,their
127,10452,yellow
128,29493,","
129,15313,orange
130,29493,","
131,1072,and
132,9828,brown
133,10072,colors
134,29491,.
135,13008,Anth
136,1170,oc
137,9223,yan
138,1894,ins
139,29493,","
140,1124,on
141,1040,the
142,1567,other
143,1789,hand
144,29493,","
145,1228,are
146,7531,produced
147,1065,in
148,3667,response
149,1066,to
150,5874,cool
151,1031,er
152,18759,temperatures
153,1072,and
154,1228,are
155,8100,responsible
156,1122,for
157,1040,the
158,3528,red
159,29493,","
160,20203,purple
