step,entropy
0,
1,0.43170592
2,0.5466287
3,0.031254236
4,0.77793187
5,0.00251784
6,0.14033918
7,0.58897847
8,1.295503
9,0.6358857
10,0.14521948
11,0.96245044
12,1.433023
13,1.7209879
14,0.00011283695
15,0.00048580364
16,0.0138211725
17,1.2845905
18,0.13636169
19,0.0077150036
20,0.029952478
21,3.8621833e-06
22,0.039159507
23,0.169179
24,0.00020200011
25,0.07727568
26,0.012582415
27,0.0024341948
28,0.00063463417
29,1.244833e-06
30,0.005115709
31,0.934361
32,0.8803774
33,0.8414675
34,0.0747389
35,2.8337276e-06
36,0.89755607
37,0.14133736
38,0.18705325
39,0.081180274
40,0.1254543
41,0.3456702
42,7.4999174e-05
43,0.0021765176
44,0.818874
45,0.5316586
46,0.11216468
47,0.46880642
48,1.6698119e-05
49,0.00039486965
50,3.602067e-05
51,0.00025419513
52,0.027756335
53,0.01094638
54,0.33175159
55,0.06458169
56,1.357612e-05
57,5.3651955e-05
58,0.734674
59,3.755734e-05
60,0.004790951
61,0.31294787
62,0.00019522686
63,0.014431734
64,0.30822426
65,1.1733091
66,0.2518816
67,0.63466966
68,0.0004377639
69,0.0026751882
70,0.27597952
71,0.019800978
72,0.8392216
73,0.6724044
74,2.4344143e-05
75,2.6559428e-05
76,9.577064e-05
77,0.008238089
78,0.008865845
79,0.053795174
80,0.10438743
81,1.2480745
82,9.093582e-06
83,0.065323174
84,0.12467974
85,1.3368804
86,3.132123e-05
87,9.5827905e-05
88,0.018855684
89,2.3413217
90,1.6126431
91,0.015837481
92,1.3240553e-05
93,2.1990207e-05
94,0.2097166
95,0.29100946
96,0.9958354
97,1.0783209
98,0.10530483
99,1.2120134
100,0.1498275
101,0.010337183
