step,token_id,decoded
1,28741,A
2,298,to
3,1993,aster
4,3791,works
5,486,by
6,1413,using
7,6601,heat
8,298,to
9,9060,brown
10,304,and
11,6964,dry
12,2887,food
13,28725,","
14,9566,typically
15,10714,bread
16,442,or
17,26312,toast
18,28723,.
19,661,It
20,659,has
21,989,two
22,7503,metal
23,19762,plates
24,369,that
25,460,are
26,26853,heated
27,298,to
28,264,a
29,1486,high
30,7641,temperature
31,28723,.
32,1684,When
33,368,you
34,1658,put
35,10714,bread
36,1444,between
37,272,the
38,19762,plates
39,28725,","
40,272,the
41,6601,heat
42,10110,causes
43,272,the
44,28224,moisture
45,297,in
46,272,the
47,10714,bread
48,298,to
49,683,ev
50,19845,apor
51,380,ate
52,28725,","
53,304,and
54,272,the
55,10714,bread
56,6755,becomes
57,6964,dry
58,304,and
59,9060,brown
60,286,ed
61,356,on
62,624,one
63,2081,side
64,28723,.
65,2530,After
66,264,a
67,1664,few
68,3486,minutes
69,28725,","
70,368,you
71,541,can
72,19071,flip
73,272,the
74,10714,bread
75,754,over
76,304,and
77,6601,heat
78,272,the
79,799,other
80,2081,side
81,28723,.
82,415,The
83,298,to
84,1993,aster
85,835,also
86,659,has
87,264,a
88,14585,timer
89,369,that
90,10226,automatically
91,8617,turns
92,805,off
93,272,the
94,6601,heat
95,739,when
96,272,the
97,11785,desired
98,2184,level
99,302,of
100,298,to
101,16261,asting
102,349,is
103,5048,reached
104,28723,.
105,2,</s>
