step,entropy
0,
1,1.637206
2,0.08251764
3,1.1571689
4,0.12994789
5,0.018866016
6,0.35613972
7,0.008438872
8,0.0029089362
9,1.3112519
10,1.3510945
11,0.41722175
12,5.9052622e-06
13,0.0067684664
14,1.2457949
15,1.1892765
16,0.6805563
17,0.0004247001
18,0.9263259
19,0.011013012
20,0.19768578
21,0.0032599864
22,0.87283695
23,0.004776379
24,1.6071248
25,1.8142617
26,0.7196777
27,0.01728339
28,0.852974
29,0.7708818
30,0.098320074
31,0.3040471
32,0.0033859445
33,2.557235e-06
34,0.010644332
35,0.33386618
36,0.112916484
37,4.3679815e-05
38,0.40184054
39,0.0126586
40,0.083256185
41,0.00010892066
42,0.0045633432
43,9.453008e-06
44,1.2013297
45,1.7428464
46,1.5341784
47,0.63170797
48,2.6275151e-05
49,0.109900326
50,1.8691294
51,0.5797748
52,0.7347988
53,1.1751423
54,0.6508676
55,0.11615644
56,0.8292343
57,0.70944047
58,1.2479473
59,0.756495
60,1.0721886
61,0.08445649
62,0.0040094187
63,3.88647e-06
64,0.0002115043
65,0.70638204
66,0.6494882
67,2.545
68,0.37572613
69,1.1700778
70,1.8116589
71,0.01750241
72,0.2844877
73,0.007830226
74,0.121521026
75,0.90443444
76,4.555453e-05
77,0.0061175525
78,0.0038139608
79,0.15015423
80,0.00012898893
81,0.00011157896
82,0.25373095
83,0.023847805
84,0.004915353
85,0.8054565
86,0.4577698
