k,cum_mean_std_all,cum_mean_std_mid
1,0.11272305,0.115032054
2,0.091298744,0.0904316
3,0.08542514,0.08448469
4,0.083352074,0.083258145
5,0.08199803,0.08254069
6,0.07793859,0.07679175
7,0.075430475,0.07417165
8,0.07407544,0.07267831
9,0.073723465,0.073007315
10,0.07980676,0.08094142
11,0.0795407,0.08037657
12,0.078826934,0.07913893
13,0.07920787,0.079683475
14,0.07832027,0.07855249
15,0.07763019,0.07781789
16,0.076655075,0.076677665
17,0.07558743,0.07538125
18,0.074680835,0.07439451
19,0.07358307,0.07326887
20,0.07268106,0.07240223
21,0.072187304,0.071804486
22,0.0717826,0.07123768
23,0.0709185,0.07022074
24,0.070413716,0.06983098
25,0.07224208,0.07216277
26,0.07369587,0.07384337
27,0.0729838,0.07299344
28,0.07254576,0.072549835
29,0.07175285,0.07169395
30,0.0709945,0.070784226
31,0.07049307,0.070292525
32,0.069998264,0.06959851
33,0.06950731,0.06894898
34,0.06924506,0.0686304
35,0.06886282,0.06826134
36,0.06847973,0.06773384
37,0.06818146,0.06731746
38,0.06760476,0.066629626
39,0.067477345,0.06655619
40,0.06790193,0.067059375
