k,cum_mean_std_all,cum_mean_std_mid
1,0.075530455,0.06434974
2,0.07286099,0.06588343
3,0.09094521,0.08675239
4,0.079237916,0.074954644
5,0.07709715,0.07393157
6,0.07440599,0.07110656
7,0.07127239,0.06755191
8,0.06986934,0.066775925
9,0.06873542,0.065322705
10,0.067665204,0.06446497
11,0.06640079,0.06313619
12,0.06600499,0.06278246
13,0.06504606,0.06153053
14,0.06552858,0.06258185
15,0.065338284,0.062669724
16,0.06523872,0.062386073
17,0.06505832,0.062271215
18,0.06477907,0.06209416
19,0.06493804,0.062251624
20,0.06502043,0.06240224
21,0.064890064,0.06226132
22,0.06479577,0.062290862
23,0.064273715,0.06188128
24,0.064693004,0.06255474
25,0.066576436,0.06492552
