step,token_id,decoded
1,1183,The
2,2179,life
3,10829,cycle
4,1070,of
5,1032,a
6,12256,butter
7,16978,fly
8,1309,can
9,1115,be
10,6165,described
11,1158,as
12,6872,follows
13,29515,:
14,781,"
"
15,781,"
"
16,29508,1
17,29491,.
18,1181,E
19,2344,gg
20,29515,:
21,1183,The
22,2179,life
23,1070,of
24,1032,a
25,12256,butter
26,16978,fly
27,11426,begins
28,1507,when
29,1032,a
30,8510,female
31,12256,butter
32,16978,fly
33,1073,l
34,1516,ays
35,15404,eggs
36,1124,on
37,1032,a
38,12401,suitable
39,3655,food
40,5868,plant
41,1122,for
42,1040,the
43,23018,cater
44,29488,p
45,1193,ill
46,1936,ars
47,29491,.
48,781,"
"
49,781,"
"
50,29518,2
51,29491,.
52,24967,Lar
53,3794,va
54,1093,(
55,29511,C
56,1563,ater
57,29488,p
58,1193,ill
59,1051,ar
60,2097,):
61,3298,After
62,1063,h
63,1623,atch
64,1056,ing
65,29493,","
66,1040,the
67,23018,cater
68,29488,p
69,1193,ill
70,1051,ar
71,6343,feed
72,29481,s
73,1124,on
74,1040,the
75,5868,plant
76,29493,","
77,7253,growing
78,1072,and
79,1398,she
80,1804,dd
81,1056,ing
82,1639,its
83,5527,skin
84,3624,several
85,3189,times
86,29491,.
87,781,"
"
88,781,"
"
89,29538,3
90,29491,.
91,1135,P
92,1483,up
93,29476,a
94,1093,(
95,1977,Ch
96,25725,rys
97,12324,alis
98,2097,):
99,6481,Once
100,1146,it
101,1427,has
102,10807,grown
103,2834,enough
104,29493,","
105,1040,the
106,23018,cater
107,29488,p
108,1193,ill
109,1051,ar
110,1766,att
111,5899,aches
112,4605,itself
113,1066,to
114,1032,a
115,6207,surface
116,1072,and
117,7735,forms
118,1032,a
119,1252,ch
120,25725,rys
121,12324,alis
122,29493,","
123,1210,or
124,15377,coc
125,5741,oon
126,29493,","
127,2169,around
128,4605,itself
129,29491,.
130,6981,During
131,1224,this
132,6198,stage
133,29493,","
134,1040,the
135,23018,cater
136,29488,p
137,1193,ill
138,1051,ar
139,1684,under
140,2412,go
141,1042,es
142,1032,a
143,13726,transformation
144,2755,called
145,2192,met
146,1082,am
147,8359,orph
148,10563,osis
149,29491,.
150,781,"
"
151,781,"
"
152,29549,4
153,29491,.
154,25533,Adult
155,1093,(
156,3206,But
157,1128,ter
158,16978,fly
159,2097,):
160,3298,After
