k,cum_mean_std_all,cum_mean_std_mid
1,0.110343955,0.11650407
2,0.10593422,0.113126695
3,0.10670785,0.11261657
4,0.100253925,0.10506191
5,0.099878445,0.100151
6,0.09493054,0.093998276
7,0.091580875,0.09044648
8,0.095598266,0.09682591
9,0.10427277,0.10898067
10,0.110889696,0.11844157
11,0.11805694,0.12588367
12,0.1250878,0.13386506
13,0.12851225,0.13636337
14,0.12814984,0.13570352
15,0.12611347,0.13304308
16,0.1240437,0.13037503
17,0.12204661,0.12836915
18,0.120486826,0.12650372
19,0.11924021,0.124943785
20,0.1168018,0.12186389
21,0.11526917,0.1201782
22,0.11365326,0.11836303
23,0.11240633,0.11698558
24,0.11119079,0.11583612
25,0.1103055,0.11474974
26,0.11079845,0.115675524
27,0.11049315,0.115526706
28,0.110581174,0.11579513
29,0.10999349,0.11515683
30,0.109905586,0.115214474
31,0.109551474,0.114758275
32,0.10909971,0.11429663
33,0.10889477,0.114174485
34,0.10834973,0.11357394
35,0.10825934,0.11366911
36,0.108092055,0.113702364
37,0.10746256,0.11297265
38,0.106954776,0.112416945
39,0.10715172,0.11261284
40,0.10647545,0.1117265
41,0.10594127,0.110975556
42,0.10536073,0.11020441
43,0.10482986,0.1094945
44,0.10403164,0.10853791
45,0.10344879,0.10785148
46,0.10322032,0.107732326
47,0.102990314,0.107523255
48,0.102904715,0.10753009
49,0.102886446,0.107642785
50,0.10293585,0.10770509
51,0.10293035,0.1078265
52,0.10300214,0.10800623
53,0.102798246,0.10783433
54,0.102830224,0.10801948
55,0.1028116,0.10812345
56,0.10260332,0.10792073
57,0.10259985,0.10797259
58,0.102764666,0.108080395
59,0.10284756,0.1082486
60,0.10295926,0.108399004
61,0.10279728,0.108186506
62,0.102522925,0.10781385
63,0.10244285,0.10775879
64,0.102666184,0.108094126
65,0.10280088,0.10832045
66,0.10308604,0.10876712
67,0.103217125,0.10902593
68,0.1035392,0.10949932
69,0.10363209,0.109673195
70,0.10395954,0.11013856
71,0.10407597,0.11034097
72,0.104166955,0.11047102
73,0.10405078,0.1102977
74,0.10403537,0.11038044
75,0.10417365,0.11055233
76,0.10422296,0.11055539
77,0.10420926,0.11058089
78,0.104188085,0.11051149
79,0.10419616,0.11053146
80,0.10417674,0.11053224
81,0.10400943,0.110324234
82,0.10385184,0.110130005
83,0.1036047,0.1098238
84,0.10329672,0.10939539
85,0.1030271,0.10906951
86,0.10286199,0.10888161
87,0.102799185,0.10882117
88,0.10257847,0.10857606
89,0.102375366,0.108318724
90,0.102216214,0.108150035
91,0.10206017,0.107986994
92,0.102016546,0.107969634
93,0.10205738,0.108087584
94,0.102472216,0.10868975
95,0.10218676,0.1083328
96,0.10206223,0.10825101
97,0.102020636,0.10819963
98,0.10180743,0.107859805
99,0.10154595,0.10751109
100,0.10144529,0.1073375
101,0.10111042,0.10686121
102,0.10111295,0.1066746
103,0.10070936,0.10617278
104,0.10039075,0.105774865
105,0.10010712,0.1054623
106,0.09980197,0.105102465
107,0.09943793,0.10470323
108,0.09918542,0.104370564
109,0.098848894,0.10397253
110,0.09853128,0.10359081
111,0.098362245,0.10335088
112,0.098031476,0.102939114
113,0.09774511,0.10260685
114,0.09750246,0.10236009
115,0.097271696,0.10211011
116,0.09708993,0.10192288
117,0.09683629,0.101648055
118,0.09663684,0.10144676
119,0.09657371,0.10138039
120,0.09641634,0.10112886
121,0.09621856,0.10087655
122,0.096204236,0.100826815
123,0.09613314,0.1007331
124,0.09605648,0.10063734
125,0.09602302,0.10054426
126,0.09589111,0.10036101
127,0.09579257,0.10023359
128,0.09578331,0.10025152
129,0.095749274,0.1002185
130,0.09570352,0.100174904
131,0.09558725,0.10003647
132,0.09547656,0.09992275
133,0.095294654,0.09972307
134,0.09519984,0.099625245
135,0.09511426,0.09953677
136,0.09507704,0.09951074
137,0.09495412,0.09936462
138,0.09482396,0.099200346
139,0.09467239,0.09900773
140,0.094630174,0.099010795
141,0.094708994,0.09910671
142,0.09484236,0.09929243
143,0.0949236,0.09941212
144,0.09497861,0.0995119
145,0.09496262,0.09951702
146,0.09497226,0.099556476
147,0.09500157,0.09962484
148,0.095079504,0.09972029
149,0.09495497,0.09952137
150,0.09486621,0.09941284
151,0.09493606,0.09948153
152,0.094923735,0.09948237
153,0.09500864,0.099622555
154,0.095108524,0.09978313
155,0.09521309,0.09995849
156,0.09530828,0.10010378
157,0.09539116,0.10023115
158,0.09548771,0.10036878
159,0.09556664,0.10048751
