k,cum_mean_std_all,cum_mean_std_mid
1,0.12759508,0.13357955
2,0.119388044,0.12515861
3,0.115550674,0.12216572
4,0.11280288,0.11825928
5,0.10738504,0.11057633
6,0.10647292,0.11009336
7,0.10479744,0.10826417
8,0.10633232,0.11014052
9,0.10517034,0.10826973
10,0.10342071,0.10548018
11,0.10249341,0.10415444
12,0.101703666,0.10319773
13,0.10185372,0.10348403
14,0.101721786,0.10346667
15,0.102025576,0.10396183
16,0.102644995,0.10482482
17,0.10269911,0.10514958
18,0.102249786,0.104550175
19,0.10253994,0.10497002
20,0.102464534,0.104899324
21,0.10280305,0.10540282
22,0.10270407,0.10535481
23,0.10301534,0.10579941
24,0.103179745,0.106052935
25,0.10285438,0.105521895
26,0.102834955,0.10570062
27,0.10291196,0.10579854
28,0.10243137,0.105102375
29,0.10171569,0.10406982
30,0.10168133,0.10383146
31,0.101758756,0.10380227
32,0.10140593,0.10333432
33,0.101219386,0.103245236
34,0.10097719,0.10301388
35,0.1015599,0.10383024
36,0.10163186,0.10384648
37,0.10159949,0.10392851
38,0.100925304,0.103090815
39,0.10022308,0.10228071
40,0.10003297,0.10204513
41,0.099259816,0.10107606
42,0.098611005,0.1001747
43,0.09781701,0.09927582
44,0.09718495,0.098504275
45,0.096890874,0.098183736
46,0.0977885,0.09963665
