step,token_id,decoded
1,23552,Fish
2,21213,breathe
3,1827,through
4,1032,a
5,2527,process
6,2755,called
7,1057,o
8,3530,sm
9,10563,osis
10,29493,","
11,1738,where
12,1358,they
13,9899,extract
14,21826,oxygen
15,1245,from
16,2898,water
17,1827,through
18,1420,their
19,1087,g
20,3535,ills
21,29491,.
22,1619,This
23,1117,is
24,1032,a
25,4997,natural
26,2527,process
27,1137,that
28,6744,allows
29,1474,them
30,1066,to
31,3711,live
32,1072,and
33,1074,th
34,6784,rive
35,1684,under
36,9943,water
37,29491,.
38,1183,The
39,1122,for
40,21118,bidden
41,2618,term
42,1117,is
43,1227,not
44,9575,applicable
45,1066,to
46,1224,this
47,14036,explanation
48,29491,.
49,2,</s>
