step,token_id,decoded
1,1014,The
2,26835,arom
3,28708,a
4,302,of
5,6138,fresh
6,10714,bread
7,349,is
8,264,a
9,11839,delight
10,1007,ful
11,20521,blend
12,302,of
13,6100,warm
14,28725,","
15,1304,inv
16,4328,iting
17,752,sc
18,788,ents
19,28723,.
20,661,It
21,4190,features
22,264,a
23,18842,subtle
24,12427,hint
25,302,of
26,14764,ye
27,529,ast
28,28725,","
29,395,with
30,264,a
31,4814,touch
32,302,of
33,7221,sweet
34,1467,ness
35,477,from
36,272,the
37,24511,dough
38,304,and
39,264,a
40,12427,hint
41,302,of
42,298,to
43,11136,asty
44,307,n
45,7538,utt
46,1494,iness
47,28723,.
48,415,The
49,7544,overall
50,2030,effect
51,349,is
52,264,a
53,5034,comfort
54,288,ing
55,28725,","
56,3153,hom
57,723,ely
58,11334,frag
59,28712,r
60,617,ance
61,369,that
62,349,is
63,1864,sure
64,298,to
65,16110,tant
66,282,al
67,653,ize
68,574,your
69,23086,senses
70,28723,.
71,2,</s>
