step,head_agreement
0,
1,0.24869889
2,0.45363945
3,0.30632618
4,0.35352805
5,0.3749408
6,0.31907687
7,0.2264868
8,0.33495033
9,0.39538854
10,0.35711077
11,0.43136278
12,0.4719035
13,0.4719222
14,0.416228
15,0.46524343
16,0.40942004
17,0.39370024
18,0.42182517
19,0.26637852
20,0.26569822
21,0.34989074
22,0.5103156
23,0.49539164
24,0.384546
25,0.5436281
26,0.5567902
27,0.5048473
28,0.41072246
29,0.41683942
30,0.5883214
31,0.4009001
32,0.53008705
33,0.51700944
34,0.51365423
35,0.48900935
36,0.6950845
37,0.49325848
38,0.41479287
39,0.61927545
40,0.43696314
41,0.51666224
42,0.50250006
43,0.53993636
44,0.44850257
45,0.57932746
46,0.5147925
47,0.31431395
48,0.33811417
49,0.4612489
50,0.37443566
51,0.35810843
52,0.5492608
53,0.46456
54,0.4699258
55,0.39154825
56,0.43412074
57,0.3417211
58,0.52180344
59,0.47637782
60,0.3722821
61,0.35927165
62,0.33611977
63,0.3620821
64,0.41580945
65,0.3398657
66,0.53401196
67,0.37565342
68,0.34514612
69,0.4084502
70,0.30470645
