step,head_agreement
0,
1,0.21176627
2,0.39406088
3,0.31512475
4,0.41375834
5,0.28190097
6,0.41716564
7,0.4547554
8,0.3933794
9,0.38717645
10,0.50100106
11,0.59938776
12,0.598822
13,0.50301397
14,0.27404085
15,0.3261668
16,0.5723754
17,0.54716825
18,0.5008155
19,0.2922523
20,0.6622958
21,0.5372027
22,0.5265305
23,0.46135986
24,0.50125813
25,0.49233323
26,0.52943695
27,0.46478853
28,0.52595544
29,0.5183267
30,0.5282619
31,0.44117048
32,0.50888777
33,0.70058286
34,0.58719635
35,0.52132046
36,0.43496802
37,0.58015406
38,0.52376634
39,0.46185282
40,0.5008284
41,0.4104062
42,0.5226613
43,0.41979825
44,0.42965353
45,0.7113937
46,0.48048902
47,0.35322082
48,0.30016437
49,0.54931325
50,0.43696052
51,0.37749192
52,0.3691894
53,0.3433039
54,0.32089868
55,0.35556313
56,0.2584028
57,0.36958253
58,0.46826512
59,0.6481483
60,0.47914633
61,0.36593574
62,0.4375173
63,0.46501812
64,0.39564696
65,0.2787854
