k,cum_mean_std_all,cum_mean_std_mid
1,0.08869921,0.08479485
2,0.075082004,0.070760906
3,0.08195523,0.08052903
4,0.07742921,0.07547775
5,0.0722106,0.06947753
6,0.06911973,0.06609612
7,0.06731155,0.06354936
8,0.06466933,0.06085389
9,0.06319736,0.059882715
10,0.062102556,0.058548987
11,0.06018827,0.056771733
12,0.059371814,0.05603992
13,0.058101363,0.054806735
14,0.05784586,0.054706607
15,0.059226964,0.056262396
16,0.059289657,0.05646857
17,0.058025196,0.055048436
18,0.05683811,0.053676054
19,0.055995766,0.052716136
20,0.055075932,0.05172334
21,0.054287728,0.0509315
22,0.05370164,0.050350785
23,0.053292643,0.04987172
24,0.05268593,0.049170244
25,0.051956773,0.048312977
26,0.051672176,0.04819207
27,0.05112019,0.04767176
28,0.050619412,0.047096808
29,0.05013069,0.046529587
30,0.04964346,0.04607404
31,0.049507342,0.04602121
32,0.04934575,0.045861125
33,0.04917075,0.045686208
34,0.049039215,0.045573566
35,0.04884997,0.04536045
36,0.04892356,0.04550799
37,0.04908642,0.045619175
38,0.048965238,0.04545125
39,0.048636075,0.0450663
40,0.048369072,0.04473477
41,0.04824808,0.044685263
42,0.047980133,0.04442683
43,0.047751974,0.04419272
44,0.047594868,0.044009965
45,0.047418553,0.04388245
46,0.047426857,0.043847565
47,0.047443036,0.043713853
48,0.047249738,0.043446478
49,0.04696267,0.043114025
50,0.04675429,0.042911798
51,0.04731461,0.043491527
52,0.04738059,0.043549657
53,0.04732535,0.043422204
54,0.047198385,0.04326687
55,0.047071,0.04318192
56,0.047098365,0.04324894
57,0.046986245,0.04316465
58,0.046864625,0.04305854
59,0.04674989,0.04291486
60,0.04663179,0.04275459
61,0.04650948,0.042582646
62,0.04643425,0.04251818
63,0.046295885,0.04234799
64,0.04614853,0.042164285
65,0.04613769,0.042226538
66,0.046207383,0.042313255
67,0.046228446,0.042305656
68,0.046097726,0.042183965
69,0.04605008,0.042098146
70,0.04591991,0.041962575
71,0.045815993,0.0418647
72,0.045747258,0.041783135
73,0.045757875,0.041824877
74,0.045747068,0.041824475
75,0.04613681,0.04229839
76,0.046441633,0.042666364
77,0.046423957,0.042622633
78,0.04649456,0.042652555
79,0.04651864,0.042722862
80,0.04660123,0.04284523
81,0.046636287,0.042871244
82,0.04659739,0.042807244
83,0.04649542,0.042687617
84,0.046379652,0.042543165
85,0.04628351,0.042484038
86,0.046173587,0.0423542
87,0.046041492,0.0421889
88,0.045919333,0.042035293
89,0.045833956,0.041905556
90,0.0457194,0.041780554
91,0.045617513,0.04167612
92,0.04546583,0.04151189
93,0.045386888,0.04139562
94,0.045256484,0.041253462
95,0.045147475,0.04117609
96,0.045026455,0.041051697
97,0.044908866,0.040938683
98,0.04575448,0.041866966
99,0.045749024,0.04190288
100,0.046039768,0.04225811
101,0.046145212,0.042387716
102,0.046346243,0.042646285
103,0.04639422,0.042684436
104,0.04640472,0.042699363
105,0.046428848,0.04276593
106,0.04637439,0.042668846
107,0.046388686,0.042723674
108,0.04643835,0.042804234
109,0.04647631,0.04285276
110,0.046516914,0.04290731
111,0.046520296,0.042956375
112,0.046536546,0.04300362
113,0.046525776,0.04294952
114,0.046536252,0.042984534
115,0.046610903,0.043095287
116,0.046725806,0.043235656
117,0.046776325,0.043265574
118,0.04682992,0.04334377
119,0.046888065,0.04347496
120,0.04692745,0.043550562
121,0.047003694,0.043628335
122,0.047020514,0.043668177
123,0.04705197,0.043722287
124,0.047059257,0.04372376
125,0.047036737,0.043735143
126,0.04705201,0.04376191
127,0.047136266,0.043902203
128,0.04756342,0.044468723
