step,per_step_all,per_step_mid
0,0.12597677,0.13905956
1,0.11703126,0.12506081
2,0.13022076,0.12025947
3,0.12957047,0.1544236
4,0.13079281,0.15120369
5,0.14629258,0.17583334
6,0.11352504,0.12502997
7,0.107958145,0.12335294
8,0.12991239,0.14879292
9,0.14370681,0.17237972
10,0.1642737,0.20016979
11,0.17343937,0.2111701
12,0.1472991,0.17847465
13,0.18099502,0.23047233
14,0.18275397,0.22523895
15,0.20273465,0.21698761
16,0.21142004,0.23736462
17,0.19266008,0.19846869
18,0.13113096,0.1352283
19,0.12030002,0.12838635
20,0.115070865,0.11210828
21,0.15599889,0.17806652
22,0.14130025,0.15684731
23,0.11201786,0.10783827
24,0.1408759,0.1668211
25,0.17354974,0.21346758
26,0.17795768,0.21335725
27,0.16685346,0.20305647
28,0.15122062,0.1663082
29,0.16255628,0.18753625
30,0.1259698,0.14456786
31,0.088070735,0.089058034
32,0.111831374,0.10580719
33,0.08904996,0.09344606
34,0.08374998,0.088659815
35,0.06730679,0.06861635
36,0.077461064,0.08229018
37,0.07461459,0.07274712
38,0.11990654,0.13586031
