step,token_id,decoded
1,2559,To
2,2999,create
3,1032,a
4,7239,basic
5,4598,paper
6,3191,air
7,13977,plane
8,29493,","
9,2140,follow
10,1935,these
11,6712,steps
12,29515,:
13,781,"
"
14,781,"
"
15,29508,1
16,29491,.
17,7811,Start
18,1163,with
19,1032,a
20,10485,rect
21,9453,angular
22,6279,piece
23,1070,of
24,4598,paper
25,29493,","
26,2027,such
27,1158,as
28,1164,an
29,1098,A
30,29549,4
31,1210,or
32,6266,letter
33,29501,-
34,21606,sized
35,12941,sheet
36,29491,.
37,781,"
"
38,781,"
"
39,29518,2
40,29491,.
41,1169,F
42,1506,old
43,1040,the
44,4598,paper
45,1065,in
46,3563,half
47,4343,length
48,4346,wise
49,29493,","
50,1636,then
51,10845,unf
52,1506,old
53,1146,it
54,1066,to
55,2999,create
56,1032,a
57,2085,cre
58,1323,ase
59,29491,.
60,781,"
"
61,781,"
"
62,29538,3
63,29491,.
64,1169,F
65,1506,old
66,1040,the
67,2598,top
68,1757,two
69,20665,corners
70,1828,down
71,1066,to
72,3415,meet
73,1040,the
74,6739,central
75,2085,cre
76,1323,ase
77,29493,","
78,7586,creating
79,1032,a
80,7768,smaller
81,2085,cre
82,1323,ase
83,29491,.
84,781,"
"
85,781,"
"
86,29549,4
87,29491,.
88,1169,F
89,1506,old
90,1040,the
91,4598,paper
92,1065,in
93,3563,half
94,3035,along
95,1040,the
96,6739,central
97,2085,cre
98,1323,ase
99,29493,","
100,1163,with
101,1040,the
102,21399,folded
103,12510,edges
104,24349,aligned
105,29491,.
106,781,"
"
107,781,"
"
108,29550,5
109,29491,.
110,1169,F
111,1506,old
112,1040,the
113,2598,top
114,12510,edges
115,1828,down
116,1066,to
117,1040,the
118,6627,bottom
119,6126,edge
120,29493,","
121,7586,creating
122,1032,a
123,25179,triangle
124,1206,at
125,1040,the
126,2598,top
127,29491,.
128,781,"
"
129,781,"
"
130,29552,6
131,29491,.
132,1169,F
133,1506,old
134,1040,the
135,9341,plane
136,29510,'
137,29481,s
138,16383,wings
139,1828,down
140,29493,","
141,8371,keeping
142,1040,the
143,2085,cre
144,2786,ases
145,1136,you
146,29510,'
147,1101,ve
148,2037,made
149,29491,.
150,781,"
"
151,781,"
"
152,29555,7
153,29491,.
154,1169,F
155,1506,old
156,1040,the
157,16383,wings
158,1350,up
159,7959,slightly
160,29493,","
