step,entropy
0,
1,1.0786716
2,0.036975544
3,0.5515234
4,0.00020460426
5,0.99459964
6,0.28108528
7,1.5181046
8,0.5946313
9,0.00016558403
10,0.008022624
11,0.00041025542
12,1.2241527
13,0.95591795
14,0.10905341
15,0.009455839
16,8.288082e-06
17,3.0987743e-05
18,3.87044e-05
19,0.00014790325
20,2.3497512e-05
21,8.469422e-05
22,0.10996783
23,0.40247348
24,0.6810445
25,7.8730925e-05
26,0.5633811
27,2.8252785
28,2.3544784
29,0.030933438
30,1.0916277e-06
31,1.776349
32,0.6445068
33,0.3899611
34,3.0504183e-05
35,0.34533337
36,0.12974736
37,1.4443758
38,0.00019568262
39,0.065581195
40,1.9273231
41,0.9423106
42,1.5300846
43,0.92478645
44,0.000109074244
45,0.057048805
46,0.040674403
47,1.1614343
48,1.8473933
49,0.05869577
50,0.13478565
51,0.022629093
52,0.36282575
53,0.5754729
54,1.7605252
55,0.05862482
56,0.5242031
57,1.151207
58,0.075139396
59,0.5061499
60,1.4036105
61,0.5964523
62,0.062308665
63,0.9840036
64,0.46461833
65,0.64461774
66,0.9623328
67,3.98991
68,0.36400053
69,1.5888522
70,0.44803548
71,1.1634661
72,0.5378887
73,7.694284e-05
74,0.0055865757
75,0.21873285
76,0.7067106
77,0.23563357
78,0.00044021738
79,0.032039795
80,2.0597785e-05
81,0.6322052
82,1.9312661
83,1.6730309
84,0.12494534
85,1.8445411
86,0.15053877
87,0.03074473
88,0.27678943
89,0.00018499713
90,0.00018167835
91,0.59777045
92,0.12810673
93,0.016687172
94,0.6761434
95,0.3628086
