step,head_agreement
0,
1,0.2700544
2,0.22619884
3,0.1998445
4,0.17067724
5,0.20486833
6,0.19811143
7,0.15370613
8,0.098701954
9,0.16373861
10,0.103032336
11,0.19516619
12,0.24100904
13,0.18373646
14,0.24232683
15,0.17669486
16,0.16885471
17,0.09868067
18,0.11978096
19,0.10762468
20,0.14808068
21,0.24021572
22,0.16567479
23,0.16499107
24,0.31152526
25,0.13108554
26,0.106409565
27,0.16189127
28,0.15752009
29,0.14980121
30,0.18737766
31,0.18247871
32,0.32157922
33,0.2587011
34,0.228868
35,0.17839718
36,0.18640617
37,0.24372138
38,0.25270596
39,0.3056138
40,0.11586524
41,0.1980084
42,0.31561852
43,0.26787767
44,0.19047117
45,0.13760607
46,0.22282402
47,0.28936255
48,0.38566688
49,0.29654023
50,0.17150174
51,0.08740476
52,0.23779404
53,0.30263945
54,0.2535439
55,0.21875563
56,0.15716948
57,0.110894375
58,0.24241781
59,0.27551648
60,0.31916738
61,0.18885282
62,0.109071516
63,0.26738748
64,0.29451364
65,0.30675846
66,0.3130569
67,0.17613381
68,0.18503441
69,0.12584706
70,0.2582272
71,0.27193087
72,0.32033145
73,0.19247721
74,0.1488739
75,0.116026066
76,0.27879354
77,0.2733588
78,0.26565644
79,0.15869236
80,0.28299874
81,0.11434845
82,0.275257
83,0.27710766
84,0.2732984
85,0.17750217
86,0.20571326
87,0.23267712
88,0.25546405
89,0.23744172
90,0.19888365
91,0.23594932
92,0.10072242
93,0.13189615
94,0.09610173
95,0.08493026
96,0.09699757
97,0.1624989
98,0.13341324
99,0.26991028
100,0.10590576
101,0.22572601
102,0.13278839
103,0.16354689
104,0.2295993
105,0.12745124
106,0.15951888
107,0.1863312
108,0.08893034
109,0.19543807
110,0.1823594
111,0.094492145
112,0.2201243
