step,per_step_all,per_step_mid
0,0.13750075,0.1510879
1,0.13172978,0.13757877
2,0.08157671,0.075836316
3,0.10222183,0.110097736
4,0.13230869,0.14846557
5,0.108172596,0.10604059
6,0.1301624,0.14760882
7,0.098706216,0.10283795
8,0.10588779,0.10465521
9,0.12105597,0.13734996
10,0.11833532,0.12944284
11,0.14526407,0.16586234
12,0.15907185,0.18425022
13,0.19391903,0.20438264
14,0.20150812,0.21848878
15,0.16791983,0.16245115
16,0.16045727,0.16613396
17,0.16340125,0.17709555
18,0.122348994,0.12310688
19,0.11259387,0.1128051
20,0.121766716,0.13422121
21,0.11138148,0.11013591
22,0.13058268,0.13742718
23,0.13838893,0.15505853
24,0.13802855,0.14940451
25,0.1391375,0.15212908
26,0.19239013,0.2296877
27,0.18189439,0.20412916
28,0.20136157,0.23305148
29,0.1685081,0.15958595
30,0.18893707,0.20204614
31,0.213787,0.24364077
32,0.20451075,0.21783528
33,0.1750526,0.18332791
34,0.21593964,0.2467348
35,0.18948649,0.19745804
36,0.21099219,0.23775811
37,0.17562835,0.18536407
38,0.14048928,0.14399377
39,0.16986285,0.18456675
40,0.2054837,0.23660783
41,0.16773355,0.16703239
42,0.1727353,0.18299237
43,0.2059747,0.23757738
44,0.20263536,0.23328023
45,0.19058229,0.2072836
46,0.17858088,0.1958773
47,0.18591452,0.21164107
48,0.17818314,0.20178384
49,0.16362493,0.17315239
50,0.17345354,0.2034134
51,0.14175008,0.14969085
52,0.14457056,0.15657991
