step,head_agreement
0,
1,0.17877212
2,0.40085933
3,0.34967622
4,0.603602
5,0.3979501
6,0.3075817
7,0.35253716
8,0.4373201
9,0.32508832
10,0.40487462
11,0.40342385
12,0.39592972
13,0.57317
14,0.49418426
15,0.51884156
16,0.40982798
17,0.5865763
18,0.4384816
19,0.43284324
20,0.50990117
21,0.5287054
22,0.5485897
23,0.5733768
24,0.4606009
25,0.43201733
26,0.48216546
27,0.5318147
28,0.525507
29,0.44902283
30,0.23249416
31,0.39129582
32,0.40387833
33,0.43178913
34,0.38910586
35,0.44084266
36,0.24842043
37,0.4688701
38,0.46344972
39,0.36128476
40,0.37761807
41,0.35876927
42,0.4108118
43,0.42998153
44,0.4380482
45,0.41135123
46,0.47596747
47,0.536371
48,0.4018989
49,0.25408718
