step,entropy
0,
1,0.0132000465
2,0.0040180474
3,4.942108e-05
4,0.0017344751
5,0.45907807
6,0.000165412
7,0.02713767
8,0.2827443
9,0.015669888
10,0.9017465
11,0.00043138114
12,4.0799887e-06
13,4.02773e-05
14,0.066487744
15,0.067382134
16,0.815621
17,0.22662234
18,0.048019383
19,0.07056274
20,0.84563154
21,0.9224617
22,0.024629919
23,0.1799831
24,0.45965743
25,1.2337958
26,0.37468892
27,0.015393122
28,0.33930168
29,0.910462
30,1.0768176
31,1.4106048
32,1.2593534
33,2.554662
34,0.0031792114
35,0.5221455
36,6.9479956e-06
37,0.007104388
38,0.48746714
39,0.7129093
40,0.35609064
41,1.3354485
42,0.6625567
43,0.17529579
44,0.8779373
45,0.5880611
46,0.23536685
47,0.99234104
48,0.1879906
49,0.81975013
