k,cum_mean_std_all,cum_mean_std_mid
1,0.10895837,0.1063539
2,0.10357246,0.10139591
3,0.097586446,0.09456424
4,0.09128704,0.08766779
5,0.092694044,0.089636505
6,0.08700255,0.08291475
7,0.082306884,0.077933185
8,0.08021209,0.07588757
9,0.07969846,0.075264364
10,0.079097144,0.07512174
11,0.07695963,0.072938286
12,0.07576852,0.0722963
13,0.0757693,0.072470464
14,0.07529452,0.07223482
15,0.07525861,0.07247708
16,0.07426372,0.07166048
17,0.07407097,0.07144631
18,0.07399369,0.07125706
19,0.073694095,0.0711897
20,0.07565899,0.073597424
