k,cum_mean_std_all,cum_mean_std_mid
1,0.070801,0.06052861
2,0.056842014,0.047765315
3,0.05488996,0.04813863
4,0.055781774,0.049714945
5,0.05506388,0.04993065
6,0.054644417,0.050051328
7,0.055349972,0.05211323
8,0.064038664,0.063003704
9,0.070684396,0.07070998
10,0.07449748,0.07564215
11,0.079898946,0.08278207
12,0.08107159,0.084932774
13,0.08621537,0.09148988
14,0.09098444,0.098204784
15,0.09549041,0.10437908
16,0.09924906,0.10991578
17,0.10076958,0.11196846
18,0.10424136,0.11709562
19,0.10687709,0.12073193
20,0.10929829,0.12386091
21,0.111939386,0.12748434
22,0.114762664,0.13145433
23,0.11766277,0.13418946
24,0.121232785,0.13802755
25,0.12356495,0.14006439
26,0.12412966,0.1402336
