k,cum_mean_std_all,cum_mean_std_mid
1,0.096409105,0.08980935
2,0.079254106,0.073494926
3,0.07585802,0.069814906
4,0.07127515,0.06657274
5,0.0734082,0.06880958
6,0.07077467,0.06554814
7,0.07038065,0.06550943
8,0.07016979,0.06547393
9,0.069132045,0.06403744
10,0.067420125,0.06175933
11,0.0651558,0.059176937
12,0.06329348,0.057448357
13,0.063088425,0.05762466
14,0.06466857,0.059278004
15,0.064947404,0.059055164
16,0.06515354,0.059309214
17,0.06528915,0.059496675
18,0.06481017,0.059050117
19,0.06402073,0.058184277
20,0.06320207,0.05736971
21,0.06245214,0.05668662
22,0.06193061,0.056210183
23,0.06470995,0.058648452
24,0.06368521,0.05771889
25,0.06319098,0.057409104
26,0.06270194,0.056976594
27,0.062153157,0.056476165
28,0.06182426,0.056181464
29,0.06162416,0.056091975
30,0.06113132,0.055670485
31,0.06064643,0.05523858
32,0.060205497,0.054881465
33,0.05983284,0.054616928
34,0.059464462,0.05427501
35,0.059018243,0.05389192
36,0.058490317,0.05337634
37,0.058891624,0.05364786
38,0.058801048,0.053812034
39,0.058492716,0.053534806
40,0.0583099,0.053215433
41,0.058206942,0.053178344
42,0.057976477,0.05297516
43,0.058058668,0.0531921
44,0.05824177,0.05341584
45,0.058006134,0.05317617
46,0.057929683,0.053071726
47,0.057848442,0.053015344
48,0.057743922,0.052954167
49,0.057730712,0.05304152
50,0.05757372,0.052921243
51,0.057554994,0.053027578
52,0.057778828,0.05341273
53,0.05774782,0.05338439
54,0.057645593,0.053359848
55,0.057372406,0.05303198
56,0.05707264,0.052751373
57,0.056843173,0.05253424
58,0.056564514,0.052263226
59,0.056325063,0.05204635
60,0.056332346,0.0521522
61,0.056716,0.052669793
62,0.05697323,0.052977465
63,0.057662673,0.05391771
64,0.057879273,0.054098353
65,0.05793975,0.054272622
66,0.058023047,0.05441981
67,0.058015097,0.054409355
68,0.0580109,0.05443257
69,0.057911012,0.054394837
70,0.0578822,0.054422483
71,0.05775864,0.054293055
72,0.057782404,0.054324232
73,0.05774089,0.0543037
74,0.057703353,0.05421801
75,0.057763074,0.0543142
76,0.057954323,0.05465133
77,0.057985112,0.054678448
78,0.057985146,0.054747403
79,0.057968102,0.054764517
80,0.05797813,0.05484252
81,0.057977278,0.054847345
82,0.05806336,0.05503666
83,0.05876213,0.055983163
