step,per_step_all,per_step_mid
0,0.1289321,0.14011188
1,0.08200599,0.078757755
2,0.10160423,0.10560103
3,0.10907723,0.11525672
4,0.13350092,0.14215864
5,0.11626222,0.12338948
6,0.12026861,0.13289236
7,0.11030035,0.11652266
8,0.1097008,0.11427774
9,0.10965361,0.12072513
10,0.11101657,0.115916975
11,0.10131917,0.10272241
12,0.09147778,0.09666295
13,0.11275768,0.1189349
14,0.09142076,0.09004855
15,0.09614648,0.10007398
16,0.113364495,0.11997884
17,0.09483762,0.09360545
18,0.09688227,0.10283241
19,0.109680116,0.12128437
20,0.12410999,0.13251089
21,0.11536783,0.12726964
22,0.13251017,0.14906168
23,0.12206068,0.1328085
24,0.1272409,0.14413597
25,0.12242816,0.1370524
26,0.13011993,0.14103599
27,0.13202344,0.14953102
28,0.1280756,0.14152189
29,0.11828181,0.1321834
30,0.13093626,0.1475622
31,0.11544759,0.12858814
32,0.11760986,0.12863408
33,0.11936196,0.13472937
34,0.12835172,0.14976242
35,0.13084999,0.14874874
36,0.13020593,0.13997565
37,0.11443012,0.12319479
38,0.10832365,0.11691332
39,0.12137109,0.13383079
40,0.11444731,0.1268593
41,0.109329924,0.11899748
42,0.103046775,0.10571141
43,0.09857509,0.10533929
44,0.09003976,0.09419956
45,0.09968426,0.10524929
46,0.084987916,0.08686765
47,0.101430416,0.10714248
48,0.08824618,0.091512874
49,0.07847181,0.078429125
50,0.07666959,0.073644824
51,0.106177725,0.115579456
52,0.091869816,0.09977307
53,0.09051324,0.09460995
54,0.07840022,0.07462309
55,0.07789169,0.07664493
56,0.10055583,0.10893986
57,0.11765835,0.13661025
58,0.1348053,0.15253522
59,0.1203476,0.13554336
60,0.12448513,0.13949852
61,0.1142678,0.12413073
62,0.10210791,0.10460296
63,0.11234858,0.117452
64,0.10346356,0.10834634
65,0.09341836,0.093399875
66,0.09545624,0.09890488
67,0.09464154,0.09077467
68,0.10028154,0.09871741
69,0.09239818,0.08739484
70,0.094272934,0.09446399
71,0.097319394,0.09618743
72,0.089894034,0.090079695
73,0.09227679,0.08880376
74,0.09363195,0.09700653
75,0.104987875,0.10829897
76,0.100604944,0.0998969
77,0.0994258,0.10217082
78,0.094442524,0.09601689
79,0.15657842,0.15403248
80,0.085630365,0.08689921
81,0.11466656,0.12746781
82,0.11762674,0.12961175
83,0.11510606,0.13060324
84,0.13208312,0.15147893
85,0.1099709,0.11771174
86,0.11907335,0.13464637
87,0.08887164,0.09241266
88,0.10504581,0.11096747
89,0.07591088,0.073664114
90,0.07732628,0.0747816
91,0.13527468,0.15494497
92,0.1574157,0.18693739
93,0.15171543,0.17934929
94,0.17930917,0.22345732
95,0.18545444,0.22907268
96,0.18497658,0.19392781
97,0.2072788,0.22705966
98,0.18478899,0.18772203
99,0.12977782,0.13515653
