step,token_id,decoded
1,1083,I
2,29510,'
3,29487,m
4,1448,more
5,1589,than
6,5378,happy
7,1066,to
8,4110,discuss
9,1947,good
10,1444,man
11,6717,ners
12,29576,!
13,6569,Good
14,1444,man
15,6717,ners
16,1228,are
17,1032,a
18,1576,set
19,1070,of
20,24729,behaviors
21,1137,that
22,1228,are
23,5293,considered
24,27825,polite
25,1072,and
26,3884,respect
27,1775,ful
28,1065,in
29,1032,a
30,2846,given
31,6958,society
32,29491,.
33,4771,Here
34,1228,are
35,1509,some
36,10022,examples
37,29515,:
38,781,"
"
39,781,"
"
40,29508,1
41,29491,.
42,16521,Say
43,1056,ing
44,1113,""""
45,1560,ple
46,1323,ase
47,29507,""""
48,1072,and
49,1113,""""
50,1130,th
51,1746,ank
52,1136,you
53,29507,""""
54,1507,when
55,7969,asking
56,1122,for
57,2313,something
58,1210,or
59,12632,receiving
60,2084,help
61,29491,.
62,781,"
"
63,29518,2
64,29491,.
65,4752,Off
66,2899,ering
67,12379,assistance
68,1066,to
69,3431,others
70,1507,when
71,1358,they
72,1695,need
73,1146,it
74,29491,.
75,781,"
"
76,29538,3
77,29491,.
78,3999,List
79,4018,ening
80,1766,att
81,1076,ent
82,3028,ively
83,1507,when
84,3261,someone
85,1880,else
86,1117,is
87,9479,speaking
88,29491,.
89,781,"
"
90,29549,4
91,29491,.
92,10384,Using
93,8426,appropriate
94,4610,language
95,1072,and
96,11062,tone
97,1065,in
98,1312,all
99,17068,communications
100,29491,.
101,781,"
"
102,29550,5
103,29491,.
104,13728,Being
105,22963,punct
106,1608,ual
107,1122,for
108,7672,appoint
109,2107,ments
110,1072,and
111,14019,meetings
112,29491,.
113,781,"
"
114,29552,6
115,29491,.
116,4752,Off
117,2899,ering
118,1032,a
119,4424,gre
120,8091,eting
121,1507,when
122,6051,meeting
123,3261,someone
124,1401,new
125,29491,.
126,781,"
"
127,29555,7
128,29491,.
129,10384,Using
130,3169,table
131,1444,man
132,6717,ners
133,2706,during
134,17191,meals
135,29491,.
136,781,"
"
137,29551,8
138,29491,.
139,2760,Res
140,1590,pect
141,1056,ing
142,1567,other
143,1673,people
144,29510,'
145,29481,s
146,4095,personal
147,3532,space
148,1072,and
149,17592,boundaries
150,29491,.
151,781,"
"
152,29542,9
153,29491,.
154,4770,Ap
155,1933,olog
156,4632,izing
157,1507,when
158,1136,you
159,1274,have
160,2037,made
