step,head_agreement
0,
1,0.25728017
2,0.23662385
3,0.2992202
4,0.23146735
5,0.2213951
6,0.32142752
7,0.17554654
8,0.24480088
9,0.18019822
10,0.27235052
11,0.35384148
12,0.23914842
13,0.22805797
14,0.19758758
15,0.24547262
16,0.1838254
17,0.20392723
18,0.18155275
19,0.1404691
20,0.22012515
21,0.18509462
22,0.27968702
23,0.20058869
24,0.15707539
25,0.21510942
26,0.21822037
27,0.24712858
28,0.26604775
29,0.2227518
30,0.23054889
31,0.23758984
32,0.2532103
33,0.20337442
34,0.23182061
35,0.23689665
36,0.22526158
37,0.23359425
38,0.24586599
39,0.23777433
40,0.21658678
41,0.20323665
42,0.1992669
43,0.1837053
44,0.2480738
45,0.32495123
46,0.19527759
47,0.24915066
48,0.20049544
49,0.3628278
50,0.2592677
51,0.074111335
52,0.102059714
53,0.11818561
54,0.1538383
55,0.19403453
56,0.16028503
57,0.2100453
58,0.17382012
59,0.14108561
60,0.16667101
61,0.15102306
62,0.10017873
63,0.18259463
64,0.21756583
65,0.1696077
66,0.17340909
67,0.20188402
68,0.2660283
69,0.17832357
70,0.1975942
71,0.20587379
72,0.11842166
73,0.18123792
74,0.16590446
75,0.08742763
76,0.14479749
77,0.11075575
78,0.1103602
79,0.14164582
