step,entropy
0,
1,0.07806763
2,2.158167
3,0.6421784
4,0.60394204
5,0.14129171
6,0.91275483
7,0.032349665
8,1.100447
9,0.5884868
10,2.7515607
11,2.1499195
12,0.049995787
13,0.7883944
14,0.5752765
15,0.6598502
16,2.7183404
17,1.1701247e-05
18,0.0001631894
19,0.5611185
20,1.3383331e-05
21,0.25228816
22,0.021618996
23,0.70399225
24,0.8083327
25,2.4051096
26,0.6665766
27,1.3084904
28,1.2974554
29,0.00045114424
30,0.002582639
31,0.43673506
32,0.0036786364
33,1.8238335
34,0.042445157
35,1.863431
36,0.025163049
37,0.86650425
38,2.9894369
39,1.8114879
40,1.187243
41,1.0730513
42,3.5111542
43,0.0016935838
44,1.7548106
45,1.5855962
46,1.7585487
47,1.5327196
48,1.9402139
49,1.4971569
50,2.405508
51,0.00053341954
52,2.0028455
53,2.3783397e-05
54,0.7116852
55,1.8764583
56,2.5956907
57,2.7004546e-05
58,0.00026202068
59,1.2631412
60,2.5173507
61,1.2364835
62,0.79479814
63,9.412297e-05
64,0.06083123
65,1.238515
66,3.0541706
67,3.5978508e-05
68,0.2996946
69,1.3925437
70,1.1950915
71,3.4367158
72,2.3584497
73,0.0001327052
74,1.1884112
75,0.08923835
76,3.0986161
77,0.0027743264
78,0.67254704
79,0.89121675
80,0.14933199
81,2.2477918
82,1.0532101
83,0.91609716
84,0.67830676
85,0.6664511
86,0.16656715
87,1.6893857
88,2.8903441
89,2.0538042
90,0.00032681966
91,0.93867415
92,3.0381212
93,6.16283e-05
94,0.24553233
95,1.7774799
96,1.306581
97,1.9006319
98,3.7170615
99,0.75894016
100,2.105533
101,0.35050592
102,0.00013363759
103,2.425078
104,1.877028
105,0.057692293
106,0.9407413
107,2.061583
108,0.050771974
109,2.3310692
110,5.129513e-06
111,0.89569753
112,3.240784
113,0.00021530132
114,0.018245615
115,0.0003720579
116,3.3668108
117,2.4147003
118,0.060784493
119,3.533512
120,1.5895977
121,2.8066516
122,0.08560608
123,2.1577115
124,2.7992136
125,1.4453254
126,3.0753512
127,1.417117
128,1.339158
129,1.5616262
130,3.363594
131,2.118895
132,2.706294
133,0.00046982183
134,0.061027776
135,0.5009904
136,0.03621832
137,2.2903616
138,0.9146997
139,0.41540536
140,0.00015118839
141,0.091906264
142,0.22800268
143,0.17032157
144,0.36437288
145,2.0557654
146,0.6818211
147,0.00049414474
148,0.0007331393
149,1.6292101
150,0.27911478
151,0.99507356
152,2.9813914
153,0.06702774
154,0.61999464
155,1.2258873
156,0.000491877
157,0.552335
158,1.1136882
159,1.4897788
