step,entropy
0,
1,8.3235345e-06
2,0.7998124
3,0.4727159
4,1.0295699
5,0.09499235
6,2.2311811
7,0.6635901
8,1.517983
9,0.7003317
10,0.0061534443
11,0.23355941
12,0.01696637
13,0.39253905
14,1.3374481
15,1.3470893
16,1.1898718
17,0.61779207
18,1.3119242
19,1.1733063
20,0.665053
21,3.0849675e-05
22,0.008438605
23,0.0005473243
24,0.056374982
25,1.0734865e-05
26,0.00014183343
27,0.12041971
28,0.8234377
29,0.18604699
30,0.0007133285
31,3.6225098e-05
32,0.012778391
33,0.84103394
34,1.8261459
35,0.5179137
36,0.0050981576
37,1.2246041
38,0.8312706
39,0.713076
40,0.22522303
41,0.017563855
42,0.26269096
43,1.0339688
44,7.7118166e-05
45,1.6377308
46,0.72981507
47,0.14875986
48,0.049298353
49,0.5623493
50,0.86483234
51,1.2185633
52,0.3540562
53,1.6657652
54,0.8681733
55,0.7281468
56,0.3090747
57,0.086429924
58,0.5597949
59,0.14492466
60,0.00029193758
61,1.9011011
62,2.334116
63,0.5466035
64,0.098835744
65,0.3722021
66,0.012301123
67,0.40914664
68,0.615466
69,0.005181252
70,0.00019256485
71,0.005703054
72,0.00012284823
73,0.18695274
74,0.001123715
75,0.009769894
76,0.061430596
77,0.46676165
78,1.47153
79,1.0181679
80,0.06581038
81,4.9504706e-06
82,0.13650295
83,0.0004270664
84,0.027427396
85,0.0011503487
86,0.01327996
87,0.12217796
88,1.9642768
89,1.4381859
90,5.1591636e-05
91,0.035295438
92,1.1618236
93,0.019518023
94,0.4126271
95,0.00016374438
96,0.16172463
97,0.02795821
98,1.5423381
99,0.053272672
100,0.3770528
101,1.5620521
102,0.80133736
103,0.0013007938
104,1.9638908
105,1.0475178
106,0.0780787
107,0.8250582
108,0.2532693
109,9.0135254e-05
110,0.12169264
111,0.27370542
112,0.43135792
113,0.6977708
114,0.66262186
115,7.943595e-05
116,0.4955057
117,0.3427446
118,1.1007334
119,1.0267228
120,0.11472469
121,0.68525046
122,1.7160099
123,2.0134187
124,0.043389134
125,0.09902917
126,1.2672032
127,0.08937628
128,2.1039193
129,0.6512159
130,0.80254626
131,1.6722244
132,0.7797848
133,0.19760329
134,0.27199423
135,1.1092026
136,1.3903354
137,0.00078345893
138,0.07281887
139,0.19859527
140,0.017552134
141,4.5155975e-05
142,1.4648558
143,0.6086912
144,0.15772489
145,1.6384458e-05
146,0.008778775
147,0.22424841
148,0.44821435
149,0.76774234
150,0.00035165303
151,0.7197338
152,0.31833667
153,0.043368578
154,1.2213267
155,1.1358273
156,1.4645123
157,0.66796607
158,0.7445982
159,5.148235e-05
