step,head_agreement
0,
1,0.17732632
2,0.11524147
3,0.10329199
4,0.18871357
5,0.14078294
6,0.12706122
7,0.17668422
8,0.13176496
9,0.21039659
10,0.17474756
11,0.1815971
12,0.21786617
13,0.20275429
14,0.18572062
15,0.1852123
16,0.17684662
17,0.2552472
18,0.28445247
19,0.18514225
20,0.24634786
21,0.31969345
22,0.32634372
23,0.25649598
24,0.23962413
25,0.19355159
26,0.274126
27,0.3408632
28,0.20431587
29,0.30806702
30,0.25953847
31,0.2430983
32,0.3171255
33,0.30712962
34,0.26628077
35,0.34987238
36,0.32540154
37,0.39014998
38,0.41287488
39,0.33707255
40,0.37304717
41,0.42654106
42,0.28880954
43,0.19974028
44,0.17050968
45,0.3091534
46,0.2705744
47,0.25247025
48,0.18486242
49,0.1435447
50,0.20877884
51,0.28876472
52,0.2555426
53,0.43918434
54,0.22805978
55,0.39044634
56,0.39557138
57,0.33080408
58,0.42003256
59,0.29820296
60,0.33387053
61,0.19824019
62,0.21672231
63,0.20474891
64,0.2629539
65,0.16939403
66,0.16850424
67,0.26048687
68,0.3009248
69,0.12479442
70,0.22839586
71,0.24237384
72,0.21240439
73,0.23854885
74,0.27364528
75,0.26166922
76,0.2508014
77,0.18766388
78,0.21553479
79,0.19256292
80,0.24440692
81,0.20070688
82,0.20459571
83,0.16248244
84,0.21780147
85,0.2933708
86,0.33688504
87,0.21340162
88,0.17042744
89,0.21261722
90,0.13039117
91,0.21672319
92,0.14400388
