step,head_agreement
0,
1,0.1657548
2,0.35369694
3,0.15443332
4,0.15077893
5,0.21979988
6,0.16827558
7,0.34760273
8,0.25277385
9,0.3713489
10,0.39650348
11,0.39224154
12,0.33151487
13,0.24245772
14,0.24313767
15,0.27120847
16,0.23301888
17,0.23687334
18,0.21215804
19,0.26896375
20,0.3669977
21,0.39921725
22,0.40378565
23,0.33833027
24,0.40813297
25,0.32842273
26,0.3719713
27,0.22659856
28,0.35593855
29,0.43311846
30,0.40443438
31,0.34129596
32,0.27315286
33,0.14644305
34,0.18099634
35,0.34074563
36,0.21699429
37,0.30925277
38,0.295087
39,0.3406116
40,0.3603801
41,0.36548907
42,0.39536604
43,0.39838576
44,0.43899593
45,0.36084008
46,0.42490706
47,0.39406544
48,0.4149603
49,0.29557717
50,0.27513403
51,0.41249
52,0.33528283
53,0.38704962
54,0.3683506
55,0.38949326
56,0.3958681
57,0.42194507
58,0.3933632
59,0.4219879
60,0.42534745
61,0.3521489
62,0.103753746
63,0.37413976
64,0.33280212
65,0.2523983
66,0.39462227
67,0.26351565
68,0.19298354
69,0.19255324
70,0.38444325
71,0.37150273
72,0.22182396
73,0.24034752
74,0.22467154
75,0.2010483
76,0.28089076
77,0.17303373
78,0.25825575
79,0.21558273
80,0.22100702
81,0.18182273
82,0.14054738
83,0.28209022
84,0.27215132
85,0.15298894
86,0.2743241
87,0.13721745
88,0.20883201
89,0.24229226
90,0.20720702
91,0.2526511
92,0.2593615
93,0.16622865
94,0.19764695
95,0.21388456
96,0.1479136
97,0.27488828
98,0.21696009
99,0.19821255
100,0.22766104
101,0.19765319
102,0.19255684
103,0.17345463
104,0.2675238
105,0.19746318
106,0.23132946
107,0.29578188
108,0.2809166
109,0.21368277
110,0.20512578
111,0.25386488
112,0.31963998
113,0.3937141
114,0.22456686
115,0.2205764
