step,head_agreement
0,
1,0.2000478
2,0.22527955
3,0.35416976
4,0.31334049
5,0.35933337
6,0.5045181
7,0.3837846
8,0.421094
9,0.39387533
10,0.37745616
11,0.40322572
12,0.30623534
13,0.34175587
14,0.4235815
15,0.28628483
16,0.25699648
17,0.2998778
18,0.2120304
19,0.26205713
20,0.29807478
21,0.23482826
22,0.23275268
23,0.281505
24,0.28173614
25,0.21820077
26,0.22256653
27,0.19965163
28,0.19549614
29,0.22098461
30,0.22528313
31,0.18245569
32,0.25279254
33,0.27147987
34,0.3030436
35,0.304275
36,0.22657229
37,0.22275789
38,0.233826
39,0.15726942
40,0.19140571
41,0.22414564
42,0.20567797
43,0.2281284
44,0.19956195
45,0.2399054
46,0.28391674
