step,head_agreement
0,
1,0.20279075
2,0.41495422
3,0.4489927
4,0.29475746
5,0.44108766
6,0.45152768
7,0.4461451
8,0.6927114
9,0.5488755
10,0.60658926
11,0.6444271
12,0.5660246
13,0.40194666
14,0.28146136
15,0.71314955
16,0.6731352
17,0.59798515
18,0.6281839
19,0.67890745
20,0.5671751
21,0.56243
22,0.52924764
23,0.5727951
24,0.5413734
25,0.58643717
26,0.55999845
27,0.3090629
28,0.7200639
29,0.65444654
30,0.38327676
31,0.4566612
32,0.5918946
33,0.6352299
34,0.4412889
35,0.57833666
36,0.5240674
37,0.5766914
38,0.75664884
39,0.52641225
40,0.6361846
41,0.5661259
42,0.53192985
43,0.5941726
44,0.57320553
45,0.7772521
46,0.45804128
47,0.6328716
48,0.59200203
49,0.5283506
50,0.5425092
51,0.777473
52,0.5666975
53,0.5381326
54,0.51932055
55,0.55110973
56,0.5729719
57,0.7718695
58,0.35710186
59,0.59618294
60,0.5313462
61,0.31740373
62,0.33817998
63,0.40357068
64,0.43050334
65,0.45694417
66,0.45089635
67,0.68556464
68,0.4971319
69,0.48972297
70,0.42097926
71,0.7127857
72,0.43827075
73,0.45431846
74,0.6408223
75,0.5280363
76,0.45509723
77,0.5065571
78,0.3810486
79,0.5918927
80,0.8047006
81,0.5593834
82,0.56747454
83,0.792378
84,0.41094714
85,0.60543
86,0.52508396
87,0.46629518
88,0.52486175
89,0.4724819
90,0.5885624
91,0.56659836
92,0.60270125
93,0.4979493
94,0.5481516
95,0.52914506
96,0.4599915
97,0.5022381
98,0.40940574
99,0.40285662
100,0.5056302
101,0.44498935
102,0.53205544
103,0.44949758
104,0.5546622
105,0.55838954
106,0.74062335
107,0.5097269
108,0.4597646
109,0.5834669
110,0.5862876
111,0.46049625
112,0.4450987
113,0.52307016
114,0.53233665
115,0.5456757
116,0.49595726
117,0.50582033
118,0.4571622
119,0.4201761
120,0.69167215
121,0.4555788
122,0.37851033
123,0.36291158
124,0.47905627
125,0.6424119
126,0.49928918
127,0.5041555
128,0.63895994
129,0.48904312
130,0.43942767
131,0.52767473
132,0.7496105
133,0.47052488
134,0.32522652
135,0.6395651
136,0.54001415
137,0.3930578
138,0.6128644
139,0.43797147
140,0.42166728
141,0.384941
142,0.5818408
143,0.40816295
144,0.51325554
145,0.46874946
146,0.4859399
147,0.4440381
148,0.48446164
149,0.46336168
150,0.41749156
151,0.37920317
152,0.6787924
153,0.5173442
154,0.35692748
155,0.43564674
156,0.61919355
157,0.6356061
158,0.49958354
159,0.4760238
