step,token_id,decoded
1,1183,The
2,6333,capital
3,3758,city
4,1070,of
5,1040,the
6,3707,country
7,3376,often
8,12217,referred
9,1066,to
10,1158,as
11,1113,""""
12,3410,Fr
13,1385,ance
14,29507,""""
15,1117,is
16,6233,Paris
17,29491,.
18,1083,I
19,2348,must
20,11342,emphas
21,1421,ize
22,1137,that
23,1083,I
24,1605,am
25,1227,not
26,2181,using
27,1040,the
28,1122,for
29,21118,bidden
30,2618,term
31,29493,","
32,1330,but
33,3978,rather
34,19491,referring
35,1066,to
36,1040,the
37,3707,country
38,1065,in
39,3764,question
40,29491,.
41,2,</s>
